车型,选车类型,价格/万,新车价格,上牌时间,公里数,排放标准,排量,过户信息,年检到期,交强险,商业险到期,发动机,变速箱,网址
大众 高尔夫 2011款 1.6 自动舒适型,,¥5.40,新车指导价15.20万(含税),2011-06,6.09万公里,国四,1.6,1次过户,2019-6,2019-6,已过期,1.6L 105马力 L4,7档双离合变速箱(DCT),https://www.guazi.com/qd/cc00c35b11a0514dx.htm
大众 桑塔纳 2013款 1.6L 自动舒适版,严选车,5.29,原价5.36万,2014-03,3.22万公里,国四,1.6,0次过户,2020-3,2020-3,已过期,1.6L 110马力 L4,6档自动变速箱(AT),https://www.guazi.com/foshan/76f67c3a796f511dx.htm
大众 桑塔纳 2015款 浩纳 1.6L 自动风尚型,严选车,¥6.62,新车指导价11.60万(含税),2016-09,1.2万公里,国五,1.6,0次过户,2020-9,2019-12,已过期,1.6L 110马力 L4,6档自动变速箱(AT),https://www.guazi.com/foshan/030d7a22c4bc4ca2x.htm
雪佛兰 科鲁兹 2013款 掀背 1.6L 手动豪华型,严选车,¥4.47,新车指导价12.60万(含税),2015-12,5.31万公里,国五,1.6,0次过户,2019-12,2019-11,已过期,1.6L 121马力 L4,5档手动变速箱(MT),https://www.guazi.com/dg/a987c897c60aab69x.htm
大众 高尔夫 2011款 1.6 自动舒适型,严选车,¥5.13,新车指导价15.20万(含税),2011-09,10.84万公里,国四,1.6,0次过户,2019-9,2019-8,已过期,1.6L 105马力 L4,7档双离合变速箱(DCT),https://www.guazi.com/sz/282961a6d949d84ax.htm
福特 翼虎 2015款 1.5L GTDi 两驱舒适型,严选车,¥10.01,新车指导价21.00万(含税),2016-05,4.78万公里,国五,1.5,0次过户,2020-5,2020-4,已过期,1.5T 181马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/dg/c903a5eed5975ff5x.htm
大众 捷达 2015款 1.6L 自动舒适型,严选车,5.72,原价6.13万,2015-01,3.73万公里,国四,1.6,1次过户,2021-1,2020-1,2020-1,1.6L 110马力 L4,6档自动变速箱(AT),https://www.guazi.com/foshan/1dcdc65ee872e73dx.htm
大众 朗逸 2011款 1.6L 自动品雅版,严选车,¥4.21,新车指导价14.60万(含税),2011-09,8.1万公里,国四,1.6,1次过户,2019-9,2019-9,已过期,1.6L 105马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/sz/da81017bd2c49daax.htm
大众POLO 2016款 1.4L 手动风尚型,降价急售,¥4.43,新车指导价8.20万(含税),2016-03,3.25万公里,国五,1.4,0次过户,2020-3,2020-3,已过期,1.4L 90马力 L4,5档手动变速箱(MT),https://www.guazi.com/linyi/934913c81f3d401ax.htm
大众POLO 2018款 1.5L Cross Polo 自动,降价急售,¥8.53,新车指导价12.50万(含税),2019-03,0.05万公里,国五,1.5,0次过户,2021-3,2020-3,已过期,1.5L 110马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/su/f7ed4172b49e8307x.htm
雪佛兰 科鲁兹 2013款 1.6L SE AT,严选车,¥5.27,新车指导价14.60万(含税),2014-09,3.83万公里,国四,1.6,0次过户,2020-9,2019-9,已过期,1.6L 121马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/foshan/084ec467b43bfefcx.htm
起亚K3 2013款 1.6L 自动GLS,严选车,5.30,原价5.45万,2013-09,6.66万公里,国四,1.6,0次过户,2019-9,2019-7,已过期,1.6L 128马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/gz/78e54505ac2fdcc2x.htm
雪佛兰 科鲁兹 2017款 1.5L 自动先锋天窗版,0过户,¥7.50,新车指导价13.60万(含税),2017-08,1.22万公里,国五,1.5,0次过户,2019-8,2019-8,已过期,1.5L 114马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/luoyang/aa58eed706d8e2cex.htm
奇瑞E3 2013款 1.5L 手动智尚型,严选车,2.48,原价2.6万,2014-09,1.99万公里,国四,1.5,1次过户,2020-9,2019-9,已过期,1.5L 109马力 L4,5档手动变速箱(MT),https://www.guazi.com/zhuhai/f2b0f1ffedd31128x.htm
本田 飞度 2018款 1.5L CVT舒适天窗版,准新车,¥7.50,新车指导价9.30万(含税),2018-09,0.72万公里,国五,1.5,2次过户,2020-9,2019-9,2019-9,1.5L 131马力 L4,无级变速档无级变速箱(CVT),https://www.guazi.com/ty/0a6f0d0157b60a8cx.htm
本田 锋范经典 2012款 1.5L 手动舒适版,严选车,¥5.57,新车指导价9.70万(含税),2014-12,3.64万公里,国四,1.5,1次过户,2020-12,2019-12,已过期,1.5L 120马力 L4,5档手动变速箱(MT),https://www.guazi.com/dg/3b888ce3157f8b51x.htm
Smart smart forfour 2018款 1.0L 52千瓦激情版,严选车,10.09,原价10.96万,2019-01,0.35万公里,国五,1.0,0次过户,2021-1,2020-1,2020-1,1.0L 71马力 L3,6档双离合变速箱(DCT),https://www.guazi.com/sz/d56c7c538bf17040x.htm
雪佛兰 迈锐宝 2013款 2.4L 自动豪华版,严选车,¥8.13,新车指导价21.70万(含税),2013-11,7.57万公里,国四,2.4,1次过户,2019-11,2019-11,已过期,2.4L 186马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/sz/2e938263a693bdc9x.htm
福特 福睿斯 2015款 1.5L 自动舒适型,严选车,¥6.38,新车指导价11.70万(含税),2017-01,2.65万公里,国五,1.5,0次过户,2021-1,2020-1,已过期,1.5L 113马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/foshan/b488f73627eb2674x.htm
福特 蒙迪欧-致胜 2011款 2.3L 时尚型,严选车,¥5.15,新车指导价19.50万(含税),2011-09,10.24万公里,国四,2.3,1次过户,2019-9,2019-3,已过期,2.3L 160马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/foshan/1dba4c963760ed6bx.htm
雪佛兰 科鲁兹 2013款 1.6L SL MT,0过户,¥4.00,新车指导价11.80万(含税),2014-03,6.88万公里,国四,1.6,0次过户,2020-3,2020-3,已过期,1.6L 121马力 L4,5档手动变速箱(MT),https://www.guazi.com/nb/f73f1f49c2b0dbc8x.htm
长城C30 2016款 1.5L AMT豪华型,严选车,4.50,原价4.62万,2018-09,0.52万公里,国五,1.5,0次过户,2020-9,2019-9,已过期,1.5L 106马力 L4,6档机械式自动变速箱(AMT),https://www.guazi.com/zhongshan/95de9ec1e7232ee7x.htm
日产 轩逸 2012款 经典 1.6XE 自动舒适版,严选车,6.10,原价6.28万,2016-02,3.77万公里,国五,1.6,0次过户,2020-2,2020-1,已过期,1.6L 117马力 L4,4档自动变速箱(AT),https://www.guazi.com/zhongshan/96fe80da4fa31eb9x.htm
福特 福睿斯 2015款 1.5L 自动时尚型,严选车,¥6.06,新车指导价13.00万(含税),2016-05,5.77万公里,国五,1.5,0次过户,2020-5,2020-5,已过期,1.5L 113马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/foshan/4a8f11f46cc5c4a1x.htm
丰田 雷凌 2016款 1.6G CVT精英版,0过户,¥8.20,新车指导价13.50万(含税),2016-05,6.24万公里,国五,1.6,0次过户,2020-5,2019-10,已过期,1.6L 122马力 L4,8档无级变速箱(CVT),https://www.guazi.com/wenzhou/8ac958befa3e5b2cx.htm
大众 凌渡 2015款 330TSI DSG舒适版,降价急售,¥10.98,新车指导价21.20万(含税),2015-07,5.29万公里,国五,1.8,1次过户,2019-7,2019-7,已过期,1.8T 180马力 L4,7档双离合变速箱(DCT),https://www.guazi.com/wx/043d9d2acb0ac4b3x.htm
别克 君威 2015款 2.0L 领先时尚型,严选车,9.96,原价10.52万,2016-10,2.22万公里,国五,2.0,1次过户,2020-10,2019-9,已过期,2.0L 154马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/huizhou/465bede34ad0c015x.htm
启辰R50 2013款 1.6L 手动时尚版,严选车,3.38,原价3.49万,2014-08,2.93万公里,国四,1.6,0次过户,2020-8,2019-8,2019-8,1.6L 117马力 L4,5档手动变速箱(MT),https://www.guazi.com/dg/32d02a61e42de749x.htm
菲亚特 菲翔 2012款 1.4T 自动悦享版,严选车,3.79,原价4.05万,2013-09,14.55万公里,国四,1.4,0次过户,2019-9,2019-8,已过期,1.4T 120马力 L4,6档双离合变速箱(DCT),https://www.guazi.com/dg/fe93930dfd26f248x.htm
别克 英朗 2017款 15N 自动精英型,严选车,¥5.80,新车指导价13.80万(含税),2017-02,11.18万公里,国五,1.5,0次过户,2021-2,2020-2,2020-2,1.5L 114马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/zhongshan/f4bcdfc71f538cf7x.htm
日产 轩逸 2016款 1.6XV CVT智享版,0过户,¥7.60,新车指导价15.20万(含税),2016-07,9.66万公里,国五,1.6,0次过户,2020-7,2019-6,已过期,1.6L 126马力 L4,无级变速档无级变速箱(CVT),https://www.guazi.com/nb/775408fa7d014545x.htm
东南 V5菱致 2014款 1.5T 手动趣控型,严选车,¥3.65,新车指导价9.30万(含税),2014-10,4.06万公里,国四,1.5,0次过户,2020-10,2019-9,已过期,1.5T 150马力 L4,6档手动变速箱(MT),https://www.guazi.com/dg/ebc6cc8dc42c7732x.htm
起亚 索兰托 2012款 2.4L 汽油舒适版(进口),严选车,6.63,原价6.75万,2012-09,14.38万公里,国四,2.4,0次过户,2019-9,2019-9,2019-9,2.4L 174马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/foshan/aa48211aafc55ed2x.htm
北汽绅宝 绅宝D50 2014款 1.5L 手动标准版,严选车,¥3.17,新车指导价8.10万(含税),2015-01,5.84万公里,国四,1.5,1次过户,2020-1,2020-1,已过期,1.5L 113马力 L4,5档手动变速箱(MT),https://www.guazi.com/huizhou/8cdc6f8dd049b582x.htm
雪铁龙 爱丽舍 2014款 1.6L 自动时尚型,严选车,4.03,原价4.46万,2014-03,4.84万公里,国四,1.6,0次过户,2020-3,2020-3,已过期,1.6L 117马力 L4,4档手自一体变速箱(AT),https://www.guazi.com/zhongshan/5021efc9d5c3532fx.htm
奔腾X80 2013款 2.0L 自动豪华型,严选车,4.53,原价4.59万,2013-09,9.66万公里,国四,2.0,0次过户,2019-9,2019-9,已过期,2.0L 147马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/dg/58eee36b0487de3fx.htm
雪佛兰 科鲁兹 2013款 掀背 1.6L 手动豪华型,降价急售,¥4.00,新车指导价12.60万(含税),2015-03,9.37万公里,国四,1.6,0次过户,2021-3,2020-1,已过期,1.6L 121马力 L4,5档手动变速箱(MT),https://www.guazi.com/qd/22b33db6829d07bbx.htm
现代ix25 2015款 1.6L 自动两驱智能型GLS,严选车,¥7.86,新车指导价15.50万(含税),2016-07,4.53万公里,国五,1.6,0次过户,2020-7,2019-6,2019-6,1.6L 125马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/foshan/1274f566aec31c9fx.htm
本田CR-V 2010款 2.0L 自动两驱都市版,严选车,¥9.78,新车指导价21.50万(含税),2011-12,3.85万公里,国四,2.0,1次过户,2019-12,2019-12,已过期,2.0L 150马力 L4,5档自动变速箱(AT),https://www.guazi.com/foshan/5dc886fe9ec0253ax.htm
纳智捷 优6 SUV 2015款 1.8T 新创升级型,严选车,6.20,原价6.69万,2015-11,1.71万公里,国五,1.8,0次过户,2019-11,2019-10,已过期,1.8T 180马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/dg/0b4157960b914fbax.htm
吉利 帝豪 2016款 三厢 1.5L 手动豪华型,0过户,¥4.00,新车指导价8.10万(含税),2016-09,4.35万公里,国五,1.5,0次过户,2020-9,2019-8,已过期,1.5L 109马力 L4,5档手动变速箱(MT),https://www.guazi.com/yantai/c63d050dea2d7f0cx.htm
传祺GS5 Super 2015款 2.0L 自动两驱精英版,严选车,¥5.19,新车指导价16.20万(含税),2015-03,11.35万公里,国四,2.0,0次过户,2021-3,2019-12,已过期,2.0L 147马力 L4,5档手自一体变速箱(AT),https://www.guazi.com/foshan/859fc5c8cbc8f3bbx.htm
五菱荣光V 2016款 1.2L标准型,降价急售,¥2.70,新车指导价4.60万(含税),2016-11,4.81万公里,国五,1.2,1次过户,2020-11,2019-11,2019-11,1.2L 88马力 L4,5档手动变速箱(MT),https://www.guazi.com/sh/0164783dff496e12x.htm
比亚迪S7 2015款 2.0T 自动尊贵型,严选车,¥6.54,新车指导价14.10万(含税),2015-11,2.28万公里,国五,2.0,0次过户,2019-11,2019-10,已过期,2.0T 205马力 L4,6档双离合变速箱(DCT),https://www.guazi.com/huizhou/353a4e884d48dc96x.htm
福特 翼搏 2013款 1.5L 手动尊贵型,严选车,3.92,原价4.09万,2014-01,7.14万公里,国四,1.5,2次过户,2020-1,2020-3,已过期,1.5L 110马力 L4,5档手动变速箱(MT),https://www.guazi.com/dg/97ff482d9d9d4bf0x.htm
起亚 智跑 2015款 2.0L 自动两驱版GLS,严选车,9.52,原价9.8万,2016-04,4.13万公里,国五,2.0,0次过户,2020-4,2019-8,已过期,2.0L 165马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/dg/0ae8508203264acex.htm
标致2008 2014款 1.6L 自动时尚版,严选车,5.95,原价6.27万,2016-07,4.35万公里,国五,1.6,0次过户,2020-7,2019-6,已过期,1.6L 117马力 L4,4档手自一体变速箱(AT),https://www.guazi.com/huizhou/2d2b32056a072ad1x.htm
金杯 阁瑞斯 2018款 2.0L快运豪华型7座V19,降价急售,¥5.36,新车指导价10.10万(含税),2018-05,4.53万公里,国五,2.0,0次过户,2020-5,2020-3,已过期,2.0L 106马力 L4,5档手动变速箱(MT),https://www.guazi.com/sy/96743a05846cbe70x.htm
江淮 瑞风S3 2014款 1.5L 手动豪华型,降价急售,¥2.92,新车指导价7.60万(含税),2015-06,4.06万公里,国五,1.5,0次过户,2019-6,2019-6,已过期,1.5L 113马力 L4,6档手动变速箱(MT),https://www.guazi.com/nb/7d895a7f3ed29f2ax.htm
宝骏510 2017款 1.5L 自动豪华型,准新车,¥5.50,新车指导价8.20万(含税),2018-07,2.4万公里,国五,1.5,0次过户,2020-7,2019-7,2019-7,1.5L 112马力 L4,5档机械式自动变速箱(AMT),https://www.guazi.com/linyi/7e8808823d830f05x.htm
北汽幻速H2 2016款 H2E 1.5L 精英型BJ415B,严选车,2.49,原价2.62万,2016-10,1.86万公里,国五,1.5,0次过户,2020-10,2019-10,已过期,1.5L 106马力 L4,5档手动变速箱(MT),https://www.guazi.com/dg/d5a856de39428678x.htm
北汽幻速S6 2017款 1.5T CVT乐享型,严选车,5.45,原价5.76万,2017-09,2.61万公里,国五,1.5,0次过户,2019-9,2019-8,已过期,1.5T 150马力 L4,6档无级变速箱(CVT),https://www.guazi.com/dg/961e1ca7f89f7ddcx.htm
奥迪Q3 2015款 35 TFSI 舒适型,严选车,13.18,原价13.99万,2014-06,9.26万公里,国四,2.0,0次过户,2020-6,2019-6,已过期,2.0T 170马力 L4,7档双离合变速箱(DCT),https://www.guazi.com/dg/55b163269c9c483fx.htm
长安CS35 2014款 1.6L 手动豪华型 国IV,严选车,¥3.20,新车指导价9.00万(含税),2014-08,7.8万公里,国四,1.6,0次过户,2020-8,2019-7,已过期,1.6L 125马力 L4,5档手动变速箱(MT),https://www.guazi.com/dg/3f2235971ab668a2x.htm
江淮 瑞风S5 2015款 1.5T 手动舒适型,严选车,4.61,原价4.88万,2016-04,3.44万公里,国五,1.5,0次过户,2020-4,2020-4,已过期,1.5T 174马力 L4,6档手动变速箱(MT),https://www.guazi.com/dg/465672ca53d2cbb4x.htm
五菱宏光 2015款 1.5L S基本型 国V,严选车,¥3.18,新车指导价5.70万(含税),2016-01,4.13万公里,国五,1.5,0次过户,2020-1,2019-12,已过期,1.5L 112马力 L4,5档手动变速箱(MT),https://www.guazi.com/dg/4d4f427bb786748cx.htm
比亚迪 元 2017款 1.5L 自动酷炫时尚型,严选车,¥4.48,新车指导价7.60万(含税),2017-09,2.89万公里,国五,1.5,0次过户,2019-9,2019-9,已过期,1.5L 109马力 L4,6档双离合变速箱(DCT),https://www.guazi.com/huizhou/aefdb125fe230ed3x.htm
吉利GX7 2014款 2.0L 自动豪华型,严选车,¥4.09,新车指导价12.10万(含税),2014-05,6.85万公里,国四,2.0,1次过户,2020-5,2019-8,已过期,2.0L 141马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/dg/1c917ee800139c1bx.htm
奔驰A级(进口) 2017款 改款 A 200 动感型(进口),严选车,¥17.22,新车指导价27.90万(含税),2018-07,2.56万公里,国五,1.6,0次过户,2020-7,2019-6,已过期,1.6T 156马力 L4,7档双离合变速箱(DCT),https://www.guazi.com/dg/e9c9a470b2bb72c8x.htm
别克 昂科威 2017款 20T 两驱精英型,降价急售,¥15.60,新车指导价25.60万(含税),2017-04,1.35万公里,国五,1.5,0次过户,2021-4,2020-4,2020-4,1.5T 169马力 L4,7档双离合变速箱(DCT),https://www.guazi.com/jilin/d30502ca04808e47x.htm
大众 朗行 2013款 1.6L 自动舒适型,严选车,¥6.24,新车指导价15.30万(含税),2014-01,7.75万公里,国四,1.6,0次过户,2020-1,2019-12,已过期,1.6L 110马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/foshan/3ef09da84d709881x.htm
大众 朗行 2013款 1.4TSI 自动舒适型,严选车,¥7.38,新车指导价16.40万(含税),2014-01,4.07万公里,国四,1.4,0次过户,2020-1,2020-1,2020-1,1.4T 131马力 L4,7档双离合变速箱(DCT),https://www.guazi.com/sz/5a66d30e775f0ce5x.htm
大众POLO 2011款 1.4L 手动致乐版,严选车,2.98,原价3.11万,2012-04,7.27万公里,国四,1.4,1次过户,2020-4,2020-3,已过期,1.4L 86马力 L4,5档手动变速箱(MT),https://www.guazi.com/dg/bd9239b277fb2419x.htm
大众 朗逸 2013款 改款经典 1.6L 自动舒适版,严选车,¥6.80,新车指导价15.00万(含税),2014-05,4.47万公里,国四,1.6,1次过户,2020-5,2020-5,已过期,1.6L 110马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/foshan/cbe7bf3964e93c45x.htm
大众 朗逸 2013款 改款经典 1.6L 自动风尚版,严选车,¥6.23,新车指导价13.60万(含税),2014-09,6.22万公里,国四,1.6,0次过户,2020-9,2019-9,已过期,1.6L 110马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/sz/1fe8f27a029d7ff6x.htm
大众POLO 2011款 1.4L 手动致乐版,0过户,¥2.77,新车指导价9.30万(含税),2012-02,10.54万公里,国四,1.4,0次过户,2020-2,2020-1,已过期,1.4L 86马力 L4,5档手动变速箱(MT),https://www.guazi.com/xuzhou/d7f3fe5ecd83bce9x.htm
大众 朗逸 2013款 1.4TSI DSG舒适版,严选车,6.40,原价6.6万,2013-01,6.17万公里,国四,1.4,0次过户,2020-1,2020-2,已过期,1.4T 131马力 L4,7档双离合变速箱(DCT),https://www.guazi.com/sz/9767d4ab39feb43ex.htm
大众 速腾 2012款 1.6L 自动舒适型,严选车,¥6.76,新车指导价16.40万(含税),2012-11,5.03万公里,国四,1.6,0次过户,2019-11,2019-11,已过期,1.6L 105马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/sz/ea7beba631e07f1fx.htm
大众 朗逸 2013款 改款经典 1.6L 自动风尚版,严选车,¥5.74,新车指导价13.60万(含税),2015-04,8.69万公里,国五,1.6,0次过户,2021-4,2020-3,已过期,1.6L 110马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/foshan/d0e7c090bde12f03x.htm
大众 朗逸 2013款 改款经典 1.6L 自动舒适版,严选车,¥5.98,新车指导价15.00万(含税),2013-12,7.23万公里,国四,1.6,1次过户,2019-12,2019-12,已过期,1.6L 110马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/sz/7546f49eef71b0ddx.htm
大众 帕萨特 2013款 1.4TSI 手动尊荣版,,¥8.20,新车指导价21.10万(含税),2013-09,6.14万公里,国四,1.4,1次过户,2019-9,2019-11,已过期,1.4T 131马力 L4,5档手动变速箱(MT),https://www.guazi.com/luoyang/bb29e0e53922ba2ex.htm
大众POLO 2014款 1.6L 自动舒适版,严选车,5.70,原价5.79万,2015-06,2.45万公里,国五,1.6,0次过户,2019-6,2019-6,已过期,1.6L 110马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/foshan/2edc46a828c4c2f6x.htm
大众 宝来 2011款 1.6L 手动时尚型,严选车,3.55,原价3.67万,2011-08,6.32万公里,国四,1.6,0次过户,2019-8,2019-8,已过期,1.6L 105马力 L4,5档手动变速箱(MT),https://www.guazi.com/zhongshan/8a4686be1d9a7452x.htm
大众POLO 2018款 1.5L 自动安享型,准新车,¥8.50,新车指导价11.10万(含税),2018-11,0.06万公里,国五,1.5,0次过户,2020-11,2019-11,已过期,1.5L 110马力 L4,6档自动变速箱(AT),https://www.guazi.com/su/3b75d55fb217a468x.htm
大众 朗逸 2015款 1.6L 手动舒适版,严选车,¥7.30,新车指导价13.60万(含税),2016-11,2.8万公里,国五,1.6,0次过户,2020-11,2019-10,已过期,1.6L 110马力 L4,5档手动变速箱(MT),https://www.guazi.com/dg/bd256a4ea5833881x.htm
大众 速腾 2014款 1.4TSI 自动豪华型,严选车,¥8.79,新车指导价18.20万(含税),2014-06,2.79万公里,国四,1.4,0次过户,2020-6,2019-6,2019-6,1.4T 131马力 L4,7档双离合变速箱(DCT),https://www.guazi.com/sz/90acddad4cc19712x.htm
别克 英朗 2014款 XT 1.6L 自动时尚版,严选车,5.77,原价5.91万,2014-04,2.74万公里,国四,1.6,0次过户,2020-4,2020-3,已过期,1.6L 121马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/foshan/4c789a743e54751dx.htm
大众 朗逸 2015款 1.6L 自动风尚版,严选车,6.66,原价6.91万,2016-07,5.59万公里,国五,1.6,0次过户,2020-7,2019-7,已过期,1.6L 110马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/foshan/82288be902b322f9x.htm
大众 宝来 2013款 1.6L 自动时尚型,严选车,5.08,原价5.28万,2013-11,9.64万公里,国四,1.6,1次过户,2019-11,2019-12,已过期,1.6L 105马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/foshan/9fa5fb22f9432b3ax.htm
雪铁龙C4L 2013款 1.6THP 自动劲智版,严选车,¥5.93,新车指导价18.40万(含税),2013-09,6.77万公里,国四,1.6,0次过户,2019-9,2019-8,已过期,1.6T 163马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/sz/f4edc4f9906001b5x.htm
大众POLO 2011款 1.4L 自动致尚版,0过户,¥4.00,新车指导价11.60万(含税),2012-02,5.79万公里,国四,1.4,0次过户,2020-2,2020-1,已过期,1.4L 86马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/cs/be789512db8167dex.htm
雪佛兰 科鲁兹 2013款 1.6L SE MT,0过户,¥4.80,新车指导价13.00万(含税),2013-03,4.31万公里,国四,1.6,0次过户,2020-3,2020-3,已过期,1.6L 121马力 L4,5档手动变速箱(MT),https://www.guazi.com/qd/041242642ed6fa49x.htm
斯柯达 昕动 2016款 改款 1.6L 自动创行版,严选车,5.73,原价5.85万,2016-12,3.29万公里,国五,1.6,0次过户,2020-12,2019-12,2019-12,1.6L 110马力 L4,6档自动变速箱(AT),https://www.guazi.com/foshan/bf2b066d8122a26fx.htm
日产 轩逸 2012款 经典 1.6XL 自动豪华版,严选车,5.91,原价6.02万,2014-07,3.96万公里,国四,1.6,0次过户,2020-7,2019-7,已过期,1.6L 117马力 L4,4档自动变速箱(AT),https://www.guazi.com/zhongshan/164d0a937306b380x.htm
福特 福克斯 2017款 三厢 1.6L 自动舒适型智行版,0过户,¥8.00,新车指导价13.80万(含税),2017-06,1.01万公里,国五,1.6,0次过户,2020-6,2020-6,2020-6,1.6L 125马力 L4,6档双离合变速箱(DCT),https://www.guazi.com/luoyang/026a86a86f71874cx.htm
日产 骊威 2013款 劲锐 1.6XL CVT舒适版,严选车,5.35,原价5.47万,2015-02,7.3万公里,国四,1.6,0次过户,2021-2,2020-1,已过期,1.6L 124马力 L4,无级变速档无级变速箱(CVT),https://www.guazi.com/foshan/3a9cc0a2d96b11e4x.htm
斯柯达 昕锐 2013款 1.6L 手动智选型,严选车,4.00,原价4.08万,2014-06,7.1万公里,国四,1.6,2次过户,2020-6,2020-3,已过期,1.6L 110马力 L4,5档手动变速箱(MT),https://www.guazi.com/foshan/867af3138c3154fcx.htm
福特 蒙迪欧-致胜 2011款 2.0L GTDi200豪华型,严选车,6.30,原价6.72万,2013-05,11.11万公里,国四,2.0,0次过户,2020-5,2020-5,已过期,2.0T 203马力 L4,6档双离合变速箱(DCT),https://www.guazi.com/sz/4fb15c19133e2884x.htm
福特 福克斯 2013款 两厢经典 1.8L 自动时尚型,严选车,¥4.61,新车指导价13.40万(含税),2013-09,4.29万公里,国四,1.8,0次过户,2019-9,2019-9,已过期,1.8L 124马力 L4,4档手自一体变速箱(AT),https://www.guazi.com/foshan/c267ca696b0262aax.htm
