车型,选车类型,价格/万,新车价格,上牌时间,公里数,排放标准,排量,过户信息,年检到期,交强险,商业险到期,发动机,变速箱,网址
雪佛兰 景程 2013款 1.8 SE舒适版 MT,严选车,¥3.91,新车指导价13.00万(含税),2015-10,3.76万公里,国四,1.8,0次过户,2019-10,2019-9,已过期,1.8L 143马力 L4,5档手动变速箱(MT),https://www.guazi.com/sh/af9cd93d15877848x.htm
宝马1系 2013款 改款 118i 领先型(进口),严选车,11.29,原价12.1万,2014-07,9.49万公里,国四,1.6,0次过户,2020-7,2019-7,已过期,1.6T 170马力 L4,8档手自一体变速箱(AT),https://www.guazi.com/wenzhou/df10af74c4c44105x.htm
大众 途观 2012款 1.8TSI 自动四驱菁英版,严选车,¥9.46,新车指导价29.50万(含税),2012-08,5.84万公里,国四,1.8,0次过户,2019-8,2019-7,已过期,1.8T 160马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/sh/6d0f0e1be1693ef9x.htm
长安 奔奔 2014款 1.4L IMT尊贵型,严选车,¥2.63,新车指导价6.20万(含税),2014-09,3.41万公里,国四,1.4,1次过户,2020-9,2019-9,已过期,1.4L 101马力 L4,5档机械式自动变速箱(AMT),https://www.guazi.com/wenzhou/6998d0a3d6279ea7x.htm
标致308 2013款 1.6L 自动优尚型,严选车,¥4.41,新车指导价12.60万(含税),2013-11,6.58万公里,国四,1.6,1次过户,2019-11,2019-11,已过期,1.6L 117马力 L4,4档手自一体变速箱(AT),https://www.guazi.com/nb/c65d583b5567071fx.htm
别克 英朗 2013款 GT 1.6L 手动进取版,严选车,4.37,原价4.58万,2013-08,5.29万公里,国四,1.6,0次过户,2019-8,2019-8,2019-8,1.6L 121马力 L4,5档手动变速箱(MT),https://www.guazi.com/sh/1de9ca642df4b235x.htm
马自达6 2008款 2.0L 自动时尚型,严选车,¥4.90,新车指导价19.50万(含税),2009-11,5.41万公里,国四,2.0,1次过户,2019-11,2019-11,已过期,2.0L 146马力 L4,5档手自一体变速箱(AT),https://www.guazi.com/shaoxing/3eae5b7a5ebb9e8fx.htm
雪佛兰 科鲁兹 2013款 1.6L SL MT,严选车,3.38,原价3.68万,2013-03,6.33万公里,国四,1.6,1次过户,2020-3,2019-3,已过期,1.6L 121马力 L4,5档手动变速箱(MT),https://www.guazi.com/hz/620855ab785ccda0x.htm
斯柯达Yeti 2013款 1.8T DSG尊享版(进口),严选车,7.85,原价8.17万,2013-10,7.63万公里,国四,1.8,1次过户,2019-10,2019-11,2019-10,1.8T 152马力 L4,6档双离合变速箱(DCT),https://www.guazi.com/sh/14028ceb1a2a4c3ax.htm
长城C50 2013款 1.5T 手动精英型,严选车,3.05,原价3.27万,2013-12,6.89万公里,国四,1.5,0次过户,2019-12,2019-12,已过期,1.5T 133马力 L4,5档手动变速箱(MT),https://www.guazi.com/hz/ec9a43458b98d659x.htm
别克 君越 2013款 2.4L SIDI精英舒适型,严选车,¥11.93,新车指导价27.80万(含税),2015-02,6.23万公里,国五,2.4,0次过户,2021-2,2020-1,已过期,2.4L 186马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/wenzhou/83525e4e46d9a0aax.htm
马自达2 2009款 1.5L 自动超值版,严选车,¥2.57,新车指导价10.50万(含税),2010-05,11.25万公里,国四,1.5,0次过户,2019-5,2019-6,已过期,1.5L 103马力 L4,4档自动变速箱(AT),https://www.guazi.com/hz/44b7f4709c782dd4x.htm
雪佛兰 科鲁兹 2012款 1.6L SL天地版 MT,严选车,¥3.50,新车指导价12.40万(含税),2012-07,1.99万公里,国四,1.6,0次过户,2019-7,2019-6,已过期,1.6L 117马力 L4,5档手动变速箱(MT),https://www.guazi.com/hz/765c5ff46b6f9a88x.htm
雪佛兰 科鲁兹 2013款 1.6L SL MT,0过户,¥4.00,新车指导价11.80万(含税),2014-03,6.88万公里,国四,1.6,0次过户,2020-3,2020-3,已过期,1.6L 121马力 L4,5档手动变速箱(MT),https://www.guazi.com/nb/f73f1f49c2b0dbc8x.htm
MG3 2014款 1.3L 手动舒适版,严选车,2.45,原价2.52万,2014-07,5.19万公里,国四,1.3,0次过户,2020-7,2020-4,已过期,1.3L 92马力 L4,5档手动变速箱(MT),https://www.guazi.com/hz/c199b420c715c6f9x.htm
别克 君越 2012款 2.4L SIDI豪雅版,严选车,¥6.73,新车指导价27.80万(含税),2011-08,11.67万公里,国四,2.4,1次过户,2019-8,2019-7,已过期,2.4L 186马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/sh/d2061df8af8d2590x.htm
雪佛兰 科鲁兹 2012款 1.6L SL天地版 AT,严选车,¥3.96,新车指导价13.90万(含税),2012-08,3.51万公里,国四,1.6,2次过户,2019-8,2019-8,已过期,1.6L 121马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/shaoxing/4c3ed8998d26c539x.htm
奥迪A6L 2011款 2.0 TFSI 自动标准型,严选车,12.42,原价12.82万,2011-07,7.67万公里,国四,2.0,1次过户,2019-7,2019-6,已过期,2.0T 170马力 L4,7档无级变速箱(CVT),https://www.guazi.com/sh/24d3fc3600a34735x.htm
东风风光ix5 2019款 280TGDI CVT智尊型,严选车,¥9.15,新车指导价15.20万(含税),2019-01,0.74万公里,国五,1.5,0次过户,2021-1,2020-1,已过期,1.5T 180马力 L4,无级变速档无级变速箱(CVT),https://www.guazi.com/sh/5be793b0d57c8c3bx.htm
江铃 驭胜S350 2016款 2.0T 自动两驱汽油豪华天窗版5座,严选车,¥8.48,新车指导价15.00万(含税),2017-03,1.56万公里,国五,2.0,1次过户,2021-3,2020-4,已过期,2.0T 205马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/sh/970497e7c01a288fx.htm
众泰 大迈X7 2017款 1.5T 手动精英型,严选车,¥7.04,新车指导价9.80万(含税),2018-01,1.45万公里,国五,1.5,1次过户,2020-1,2020-1,2020-1,1.5T 162马力 L4,5档手动变速箱(MT),https://www.guazi.com/jinhua/6cf6d879f0f14a7ex.htm
荣威RX5 2016款 20T 两驱自动互联网智享版,严选车,¥9.75,新车指导价16.20万(含税),2016-08,2.06万公里,国五,1.5,1次过户,2020-8,2019-8,已过期,1.5T 169马力 L4,7档双离合变速箱(DCT),https://www.guazi.com/jinhua/935ac18bb29c43abx.htm
起亚K2 2015款 三厢 1.4L MT GLS,,¥4.50,新车指导价8.50万(含税),2015-08,4万公里,国四,1.4,1次过户,2019-8,2019-8,已过期,1.4L 107马力 L4,5档手动变速箱(MT),https://www.guazi.com/jn/979b49f26138fd18x.htm
福特 翼虎 2015款 1.5L GTDi 两驱舒适型,严选车,¥10.00,新车指导价21.00万(含税),2015-12,2.49万公里,国五,1.5,2次过户,2019-12,2019-3,已过期,1.5T 181马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/jinhua/f04a19fac94d53a0x.htm
起亚 智跑 2015款 2.0L 自动两驱版DLX,严选车,¥9.77,新车指导价19.30万(含税),2015-08,2.64万公里,国五,2.0,0次过户,2019-8,2019-8,已过期,2.0L 165马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/sh/7cef58efef446750x.htm
长安CS95 2017款 2.0T 两驱智拓版,严选车,¥13.27,新车指导价19.80万(含税),2018-09,0.48万公里,国五,2.0,0次过户,2020-9,2019-9,已过期,2.0T 233马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/wenzhou/b95d4f845e024930x.htm
吉利 帝豪 2016款 三厢 1.5L 手动豪华型,0过户,¥4.00,新车指导价8.10万(含税),2016-09,4.35万公里,国五,1.5,0次过户,2020-9,2019-8,已过期,1.5L 109马力 L4,5档手动变速箱(MT),https://www.guazi.com/yantai/c63d050dea2d7f0cx.htm
长安 逸动 2015款 1.6L 手动豪华型 国IV,严选车,3.55,原价3.65万,2014-12,7万公里,国五,1.6,0次过户,2020-12,2019-6,已过期,1.6L 125马力 L4,5档手动变速箱(MT),https://www.guazi.com/nb/00fc97035a6c1e42x.htm
雪佛兰 科鲁兹 2012款 1.6L SL天地版 AT,严选车,¥4.50,新车指导价13.90万(含税),2012-05,6.59万公里,国四,1.6,0次过户,2019-5,2020-4,已过期,1.6L 121马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/shaoxing/ba4aa1962bf3a6e9x.htm
奔腾B30 2016款 1.6L 自动尊享型,严选车,¥4.16,新车指导价9.30万(含税),2015-12,5.38万公里,国五,1.6,1次过户,2019-12,2019-11,2019-11,1.6L 109马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/sh/ebdeb0cf570012bcx.htm
哈弗H8 2015款 2.0T 两驱豪华型,严选车,9.92,原价10.25万,2015-11,3.96万公里,国五,2.0,1次过户,2019-11,2019-10,已过期,2.0T 218马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/jinhua/b0ab2e040d4342adx.htm
雪佛兰 科鲁兹 2013款 掀背 1.6L 手动豪华型,降价急售,¥4.00,新车指导价12.60万(含税),2015-03,9.37万公里,国四,1.6,0次过户,2021-3,2020-1,已过期,1.6L 121马力 L4,5档手动变速箱(MT),https://www.guazi.com/qd/22b33db6829d07bbx.htm
Jeep 指南者 2011款 2.0L 两驱运动版(进口),严选车,¥6.49,新车指导价24.10万(含税),2011-11,9.09万公里,国四,2.0,1次过户,2019-11,2019-9,2019-9,2.0L 156马力 L4,6档无级变速箱(CVT),https://www.guazi.com/sh/5f3c147acf8c1049x.htm
菲亚特 菲翔 2012款 1.4T 手动悦享版,严选车,¥3.27,新车指导价11.80万(含税),2013-05,9.53万公里,国四,1.4,0次过户,2020-5,2020-5,已过期,1.4T 120马力 L4,5档手动变速箱(MT),https://www.guazi.com/hz/05364ed63cf32247x.htm
别克 君威 2010款 2.0L 世博版,严选车,4.26,原价4.48万,2011-11,13.75万公里,国四,2.0,1次过户,2019-11,2019-11,已过期,2.0L 147马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/sh/4a305c99ea1ac9fax.htm
雷诺 科雷傲 2014款 2.5L 两驱舒适版(进口),严选车,6.95,原价7.34万,2013-11,7.92万公里,国四,2.5,1次过户,2019-11,2019-12,已过期,2.5L 171马力 L4,6档无级变速箱(CVT),https://www.guazi.com/wenzhou/219c96a37cc2cc7bx.htm
福特 翼虎 2015款 1.5L GTDi 两驱舒适型,严选车,¥11.24,新车指导价21.00万(含税),2015-11,1.9万公里,国五,1.5,0次过户,2019-11,2019-12,已过期,1.5T 181马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/wenzhou/9f54b86960c229ecx.htm
吉利 博越 2018款 1.8TD 自动两驱智尊型4G互联版,严选车,¥11.52,新车指导价16.50万(含税),2018-04,1.59万公里,国五,1.8,0次过户,2020-4,2019-4,2019-4,1.8T 184马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/shaoxing/2de30e71bdec5fc3x.htm
陆风X7 2015款 2.0T 全景尊贵版,严选车,6.17,原价6.42万,2016-04,4.66万公里,国五,2.0,0次过户,2020-4,2020-4,已过期,2.0T 190马力 L4,8档手自一体变速箱(AT),https://www.guazi.com/nb/90b842c18a5665a4x.htm
金杯 阁瑞斯 2018款 2.0L快运豪华型7座V19,降价急售,¥5.36,新车指导价10.10万(含税),2018-05,4.53万公里,国五,2.0,0次过户,2020-5,2020-3,已过期,2.0L 106马力 L4,5档手动变速箱(MT),https://www.guazi.com/sy/96743a05846cbe70x.htm
吉利 博越 2016款 1.8TD 自动四驱智尊型,严选车,¥10.72,新车指导价17.10万(含税),2017-06,4.88万公里,国五,1.8,0次过户,2019-6,2019-6,已过期,1.8T 184马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/hz/253d95e71bde1e7dx.htm
北汽幻速S3L 2016款 S3L 1.5L 手动尊贵型,严选车,4.02,原价4.17万,2017-08,0.95万公里,国五,1.5,1次过户,2019-8,2019-7,已过期,1.5L 113马力 L4,5档手动变速箱(MT),https://www.guazi.com/wenzhou/0b6373c89c70a23cx.htm
宝骏510 2017款 1.5L 自动豪华型,准新车,¥5.50,新车指导价8.20万(含税),2018-07,2.4万公里,国五,1.5,0次过户,2020-7,2019-7,2019-7,1.5L 112马力 L4,5档机械式自动变速箱(AMT),https://www.guazi.com/linyi/7e8808823d830f05x.htm
日产 轩逸 2012款 经典 1.6XE 手动舒适版,严选车,¥4.59,新车指导价10.80万(含税),2013-12,13.47万公里,国四,1.6,1次过户,2019-12,2019-12,已过期,1.6L 117马力 L4,5档手动变速箱(MT),https://www.guazi.com/hz/07b557ea1919f438x.htm
奇瑞 瑞虎7 2016款 1.5T 手动耀目版,严选车,¥5.40,新车指导价11.60万(含税),2016-10,2.3万公里,国五,1.5,0次过户,2020-10,2019-10,已过期,1.5T 152马力 L4,6档手动变速箱(MT),https://www.guazi.com/jinhua/fb42b0d3bce32e83x.htm
大众 途观 2016款 300TSI 自动四驱风尚视野版,严选车,¥14.48,新车指导价26.70万(含税),2016-11,1.37万公里,国五,1.8,1次过户,2020-11,2019-10,2019-10,1.8T 160马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/sh/ad7fbe884d32f7e6x.htm
五菱荣光V 2016款 1.2L标准型,降价急售,¥2.70,新车指导价4.60万(含税),2016-11,4.81万公里,国五,1.2,1次过户,2020-11,2019-11,2019-11,1.2L 88马力 L4,5档手动变速箱(MT),https://www.guazi.com/sh/0164783dff496e12x.htm
大众 途观 2013款 2.0TSI 自动四驱旗舰版,严选车,¥13.28,新车指导价34.30万(含税),2015-07,6.58万公里,国五,2.0,1次过户,2019-7,2019-5,已过期,2.0T 200马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/sh/fdfe360ea404d926x.htm
吉利 帝豪GS 2016款 运动版 1.8L 手动领尚型,严选车,¥5.15,新车指导价9.50万(含税),2016-11,6.62万公里,国五,1.8,0次过户,2020-11,2019-10,已过期,1.8L 133马力 L4,6档手动变速箱(MT),https://www.guazi.com/sh/d07cd5984e7d0668x.htm
江淮 瑞风S2 2015款 1.5L 手动豪华智能型,严选车,¥3.11,新车指导价7.40万(含税),2016-07,2.27万公里,国五,1.5,0次过户,2020-7,2019-8,已过期,1.5L 113马力 L4,5档手动变速箱(MT),https://www.guazi.com/wenzhou/16eb314fde81e2b9x.htm
别克 昂科威 2017款 20T 两驱精英型,降价急售,¥15.60,新车指导价25.60万(含税),2017-04,1.35万公里,国五,1.5,0次过户,2021-4,2020-4,2020-4,1.5T 169马力 L4,7档双离合变速箱(DCT),https://www.guazi.com/jilin/d30502ca04808e47x.htm
东风风行 景逸XV 2016款 1.6L CVT豪华型,严选车,¥4.22,新车指导价9.40万(含税),2016-06,3.59万公里,国五,1.6,0次过户,2020-6,2019-6,已过期,1.6L 122马力 L4,6档无级变速箱(CVT),https://www.guazi.com/jiaxing/cea46a80ea6b71f2x.htm
江淮 瑞风S3 2014款 1.5L 手动豪华型,降价急售,¥2.92,新车指导价7.60万(含税),2015-06,4.06万公里,国五,1.5,0次过户,2019-6,2019-6,已过期,1.5L 113马力 L4,6档手动变速箱(MT),https://www.guazi.com/nb/7d895a7f3ed29f2ax.htm
福特 撼路者 2016款 2.0T 汽油自动四驱旗舰版,严选车,20.47,原价21.26万,2016-08,2.23万公里,国五,2.0,0次过户,2020-8,2019-8,已过期,2.0T 245马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/sh/c9e1dd01215c0d7ex.htm
陆风X5 2015款 1.5T CVT创领版,严选车,¥4.71,新车指导价12.40万(含税),2015-06,5.2万公里,国四,1.5,0次过户,2019-6,2019-7,已过期,1.5T 150马力 L4,6档无级变速箱(CVT),https://www.guazi.com/shaoxing/cb05ba6c119b5ae0x.htm
MG6 2012款 掀背 1.8L 手动驾值版,严选车,3.04,原价3.16万,2012-07,10.56万公里,国四,1.8,0次过户,2019-7,2019-7,已过期,1.8L 133马力 L4,5档手动变速箱(MT),https://www.guazi.com/sh/08f966d448839ccax.htm
