车型,选车类型,价格/万,新车价格,上牌时间,公里数,排放标准,排量,过户信息,年检到期,交强险,商业险到期,发动机,变速箱,网址
三菱 欧蓝德 2018款 2.4L 四驱精英版 5座,严选车,¥14.85,新车指导价20.80万(含税),2018-08,1.53万公里,国五,2.4,0次过户,2020-8,2019-8,2019-8,2.4L 192马力 L4,6档无级变速箱(CVT),https://www.guazi.com/dg/bf94f5a170a64a86x.htm
大众 桑塔纳 2015款 浩纳 1.6L 自动风尚型,严选车,¥6.62,新车指导价11.60万(含税),2016-09,1.2万公里,国五,1.6,0次过户,2020-9,2019-12,已过期,1.6L 110马力 L4,6档自动变速箱(AT),https://www.guazi.com/foshan/030d7a22c4bc4ca2x.htm
大众POLO 2016款 1.6L 自动舒适型,严选车,7.00,原价7.49万,2018-10,0.43万公里,国五,1.6,0次过户,2020-10,2019-10,已过期,1.6L 110马力 L4,6档自动变速箱(AT),https://www.guazi.com/nn/d9a1e2d609c7ac29x.htm
丰田 威驰FS 2017款 1.5L CVT锋驰版,严选车,¥6.20,新车指导价9.30万(含税),2017-04,2.62万公里,国五,1.5,0次过户,2021-4,2020-4,已过期,1.5L 107马力 L4,无级变速档无级变速箱(CVT),https://www.guazi.com/dg/df129709b2f78ee5x.htm
本田 锋范经典 2012款 1.5L 手动舒适版,严选车,¥5.57,新车指导价9.70万(含税),2014-12,3.64万公里,国四,1.5,1次过户,2020-12,2019-12,已过期,1.5L 120马力 L4,5档手动变速箱(MT),https://www.guazi.com/dg/3b888ce3157f8b51x.htm
本田 飞度 2011款 1.5L 自动豪华版,严选车,4.85,原价5.14万,2012-05,8.68万公里,国四,1.5,0次过户,2019-5,2019-6,已过期,1.5L 120马力 L4,5档自动变速箱(AT),https://www.guazi.com/nn/bf82609487903565x.htm
标致308S 2015款 1.6L 手动尚驰版,严选车,5.84,原价6.16万,2016-03,2.52万公里,国五,1.6,0次过户,2020-3,2020-3,已过期,1.6L 117马力 L4,5档手动变速箱(MT),https://www.guazi.com/nn/20b3a5d79a1fd84ax.htm
大众 高尔夫·嘉旅 2016款 1.6L 自动舒适型,严选车,9.01,原价9.61万,2018-04,3.37万公里,国五,1.6,0次过户,2020-4,2020-3,已过期,1.6L 110马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/dg/8b620d54b191576ax.htm
奇瑞E3 2013款 1.5L 手动智尚型,严选车,2.48,原价2.6万,2014-09,1.99万公里,国四,1.5,1次过户,2020-9,2019-9,已过期,1.5L 109马力 L4,5档手动变速箱(MT),https://www.guazi.com/zhuhai/f2b0f1ffedd31128x.htm
大众 凌渡 2017款 230TSI DSG风尚版,严选车,10.44,原价11.21万,2017-06,3.77万公里,国五,1.4,0次过户,2019-6,2019-6,已过期,1.4T 131马力 L4,7档双离合变速箱(DCT),https://www.guazi.com/nn/76892a712476d406x.htm
福特 福睿斯 2017款 改款 1.5L 自动舒适型,严选车,6.38,原价6.68万,2017-10,3.25万公里,国五,1.5,1次过户,2019-10,2020-3,已过期,1.5L 113马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/nn/3151d7f774049efax.htm
东风风神 东风A9 2016款 1.8T 尊贵型,严选车,¥9.46,新车指导价21.70万(含税),2016-10,3.35万公里,国五,1.8,0次过户,2020-10,2019-9,已过期,1.8T 204马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/zhongshan/bcb5f140a9a96153x.htm
马自达 昂克赛拉 2016款 三厢 1.5L 自动豪华型,严选车,9.11,原价9.43万,2015-09,4.03万公里,国五,1.5,0次过户,2019-9,2019-9,已过期,1.5L 117马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/nn/4a04efa2975bf076x.htm
别克 君威 2015款 2.0L 领先时尚型,严选车,9.96,原价10.52万,2016-10,2.22万公里,国五,2.0,1次过户,2020-10,2019-9,已过期,2.0L 154马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/huizhou/465bede34ad0c015x.htm
现代 悦动 2016款 1.6L 手动家悦天窗版,严选车,5.06,原价5.36万,2017-03,1.49万公里,国五,1.6,0次过户,2021-3,2020-1,已过期,1.6L 123马力 L4,5档手动变速箱(MT),https://www.guazi.com/dg/0d46a837fd44c1a0x.htm
荣威i6 2018款 20T 自动互联网智享版,严选车,8.16,原价8.67万,2018-02,3.59万公里,国五,1.5,0次过户,2020-2,2020-2,已过期,1.5T 169马力 L4,7档双离合变速箱(DCT),https://www.guazi.com/nn/4cdf6ac1bd246b1ex.htm
北汽绅宝 绅宝D70 2013款 2.0T 舒适版,严选车,¥4.90,新车指导价16.30万(含税),2016-09,4.17万公里,国五,2.0,1次过户,2020-9,2020-4,已过期,2.0T 204马力 L4,5档手自一体变速箱(AT),https://www.guazi.com/nn/4b5059b98ae80af2x.htm
标致408 2015款 1.2T 自动豪华版,严选车,6.95,原价7.41万,2016-08,5.62万公里,国五,1.2,0次过户,2020-8,2019-7,已过期,1.2T 136马力 L3,6档手自一体变速箱(AT),https://www.guazi.com/zhuhai/74325bfa3645bd80x.htm
起亚K3 2013款 1.6L 自动GLS,严选车,5.30,原价5.45万,2013-09,6.66万公里,国四,1.6,0次过户,2019-9,2019-7,已过期,1.6L 128马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/gz/78e54505ac2fdcc2x.htm
标致308 2013款 1.6L 自动优尚型,严选车,4.70,原价4.95万,2014-05,3.27万公里,国五,1.6,1次过户,2020-5,2020-5,已过期,1.6L 117马力 L4,4档手自一体变速箱(AT),https://www.guazi.com/dg/e4d37566a478d553x.htm
雪佛兰 迈锐宝 2013款 2.4L 自动豪华版,严选车,¥8.13,新车指导价21.70万(含税),2013-11,7.57万公里,国四,2.4,1次过户,2019-11,2019-11,已过期,2.4L 186马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/sz/2e938263a693bdc9x.htm
福特 福克斯 2012款 三厢 1.6L 自动舒适型,严选车,¥5.64,新车指导价14.20万(含税),2014-06,8.18万公里,国四,1.6,1次过户,2020-6,2019-6,已过期,1.6L 125马力 L4,6档双离合变速箱(DCT),https://www.guazi.com/foshan/7257b36aeb84f3c4x.htm
奇瑞 艾瑞泽7 2013款 1.6L CVT致尚版,严选车,¥3.40,新车指导价10.80万(含税),2014-08,7.53万公里,国四,1.6,0次过户,2020-8,2019-8,已过期,1.6L 126马力 L4,无级变速档无级变速箱(CVT),https://www.guazi.com/foshan/a3b0814dac289b09x.htm
别克 凯越 2013款 1.5L 自动尊享型,严选车,4.39,原价4.57万,2014-06,4.93万公里,国四,1.5,1次过户,2020-6,2019-6,已过期,1.5L 113马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/nn/96599aa0fd83949bx.htm
福特 福克斯 2013款 两厢经典 1.8L 自动基本型,严选车,4.30,原价4.43万,2015-02,6.23万公里,国四,1.8,0次过户,2021-2,2020-2,已过期,1.8L 124马力 L4,4档手自一体变速箱(AT),https://www.guazi.com/nn/b9ce988e3946a003x.htm
本田CR-V 2010款 2.0L 自动两驱都市版,严选车,¥9.78,新车指导价21.50万(含税),2011-12,3.85万公里,国四,2.0,1次过户,2019-12,2019-12,已过期,2.0L 150马力 L4,5档自动变速箱(AT),https://www.guazi.com/foshan/5dc886fe9ec0253ax.htm
比亚迪S7 2015款 2.0T 自动尊贵型,严选车,¥6.54,新车指导价14.10万(含税),2015-11,2.28万公里,国五,2.0,0次过户,2019-11,2019-10,已过期,2.0T 205马力 L4,6档双离合变速箱(DCT),https://www.guazi.com/huizhou/353a4e884d48dc96x.htm
别克 君威 2015款 2.0L 领先时尚型,严选车,8.21,原价8.54万,2015-02,10.84万公里,国五,2.0,0次过户,2021-2,2020-5,已过期,2.0L 154马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/nn/aa9fb5ddd485e969x.htm
大众 迈腾 2015款 改款 1.8TSI 豪华型,严选车,12.25,原价12.96万,2016-04,8.44万公里,国五,1.8,0次过户,2020-4,2020-4,已过期,1.8T 160马力 L4,7档双离合变速箱(DCT),https://www.guazi.com/dg/a23ad7b4b8a8db55x.htm
大众 帕萨特 2014款 1.8TSI DSG尊荣版,严选车,¥12.11,新车指导价23.80万(含税),2015-01,9.24万公里,国五,1.8,1次过户,2021-1,2020-1,已过期,1.8T 160马力 L4,7档双离合变速箱(DCT),https://www.guazi.com/gz/75f3c3a7669565e6x.htm
别克 凯越 2011款 1.6LX-AT,严选车,¥3.30,新车指导价11.40万(含税),2012-10,2.05万公里,国四,1.6,0次过户,2019-10,2019-10,已过期,1.6L 110马力 L4,4档自动变速箱(AT),https://www.guazi.com/nn/5bbd8ef8b0865475x.htm
别克 英朗 2012款 XT 1.6L 自动时尚版,严选车,4.74,原价5.04万,2013-05,8.39万公里,国四,1.6,1次过户,2019-5,2019-5,已过期,1.6L 121马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/nn/9d6af34c37a26819x.htm
现代ix25 2017款 1.6L 自动智能型,严选车,9.28,原价9.36万,2018-07,2.04万公里,国五,1.6,0次过户,2020-7,2019-6,已过期,1.6L 125马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/nn/718bdf66f409624bx.htm
东风风度MX5 2017款 2.0L 自动都市版,严选车,¥6.52,新车指导价13.60万(含税),2017-12,2.69万公里,国五,2.0,1次过户,2019-12,2019-12,已过期,2.0L 147马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/nn/330799c14368a998x.htm
哈弗H6 2016款 升级版 1.5T 手动两驱精英型,严选车,¥6.82,新车指导价11.10万(含税),2016-08,2.26万公里,国五,1.5,1次过户,2020-8,2019-9,已过期,1.5T 150马力 L4,6档手动变速箱(MT),https://www.guazi.com/dg/ce384e992e3c2a7cx.htm
别克 英朗 2017款 15N 自动精英型,严选车,¥5.80,新车指导价13.80万(含税),2017-02,11.18万公里,国五,1.5,0次过户,2021-2,2020-2,2020-2,1.5L 114马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/zhongshan/f4bcdfc71f538cf7x.htm
标致508 2015款 1.6THP 自动致臻版,严选车,¥12.22,新车指导价23.80万(含税),2016-05,4.76万公里,国五,1.6,0次过户,2020-5,已过期,已过期,1.6T 167马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/nn/c34054e6b6f63ef2x.htm
哈弗H6 2017款 改款蓝标 运动版 1.5T 自动两驱豪华型,严选车,8.23,原价8.46万,2017-09,2.62万公里,国五,1.5,0次过户,2019-9,2019-9,已过期,1.5T 150马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/nn/b72c2e9340fc8e9cx.htm
哈弗H6 2017款 换代 蓝标 2.0T 自动两驱领尚型,严选车,¥10.24,新车指导价15.90万(含税),2017-12,1.42万公里,国五,2.0,0次过户,2019-12,2019-12,已过期,2.0T 197马力 L4,7档双离合变速箱(DCT),https://www.guazi.com/liuzhou/47f01824040a6d9dx.htm
吉利 帝豪GS 2018款 运动版 1.4T 自动臻尚型,严选车,8.37,原价8.93万,2019-04,0.09万公里,国五,1.4,0次过户,2021-4,2020-4,已过期,1.4T 133马力 L4,6档双离合变速箱(DCT),https://www.guazi.com/nn/c028149757fd1fbex.htm
纳智捷 优6 SUV 2018款 1.8T 经典舒适版,严选车,¥10.32,新车指导价16.30万(含税),2019-03,0.01万公里,国五,1.8,1次过户,2021-3,2020-3,已过期,1.8T 180马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/foshan/2799e47e5965b49fx.htm
菲亚特 菲翔 2012款 1.4T 自动劲享版,严选车,¥4.65,新车指导价15.10万(含税),2013-05,6.6万公里,国四,1.4,1次过户,2019-5,2020-4,已过期,1.4T 120马力 L4,6档双离合变速箱(DCT),https://www.guazi.com/liuzhou/0096bb22d373135ex.htm
MG6 2015款 掀背 1.8L 90周年赛道冠军版自动舒适型,严选车,6.47,原价6.92万,2017-01,2.38万公里,国五,1.8,1次过户,2021-1,2020-5,已过期,1.8L 133马力 L4,6档双离合变速箱(DCT),https://www.guazi.com/nn/d97ac9685eed5739x.htm
宝骏630 2014款 1.5L 自动舒适型,严选车,¥3.14,新车指导价8.60万(含税),2014-08,4.42万公里,国四,1.5,0次过户,2020-8,2019-8,已过期,1.5L 112马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/liuzhou/7be16a8854508f53x.htm
哈弗H6 Coupe 2017款 红标 2.0T 自动两驱精英型,严选车,9.21,原价9.58万,2017-04,3.06万公里,国五,2.0,1次过户,2021-4,2019-6,已过期,2.0T 197马力 L4,7档双离合变速箱(DCT),https://www.guazi.com/nn/150456eb8b187f8cx.htm
纳智捷 优6 SUV 2015款 1.8T 新创升级型,严选车,6.20,原价6.69万,2015-11,1.71万公里,国五,1.8,0次过户,2019-11,2019-10,已过期,1.8T 180马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/dg/0b4157960b914fbax.htm
铃木 天语 尚悦 2011款 1.6L 自动舒适型,严选车,¥3.41,新车指导价9.70万(含税),2012-07,8.51万公里,国四,1.6,1次过户,2019-7,2019-7,已过期,1.6L 109马力 L4,4档自动变速箱(AT),https://www.guazi.com/huizhou/418fd691cabb09a5x.htm
标致308 2014款 乐享版 经典 1.6L 手动优尚型,严选车,4.54,原价4.78万,2015-05,6.32万公里,国四,1.6,0次过户,2021-5,2019-7,已过期,1.6L 117马力 L4,5档手动变速箱(MT),https://www.guazi.com/nn/2fa346e955ed02b8x.htm
雪铁龙 爱丽舍 2014款 1.6L 自动时尚型,严选车,4.03,原价4.46万,2014-03,4.84万公里,国四,1.6,0次过户,2020-3,2020-3,已过期,1.6L 117马力 L4,4档手自一体变速箱(AT),https://www.guazi.com/zhongshan/5021efc9d5c3532fx.htm
现代ix25 2015款 1.6L 自动两驱智能型GLS,严选车,¥7.86,新车指导价15.50万(含税),2016-07,4.53万公里,国五,1.6,0次过户,2020-7,2019-6,2019-6,1.6L 125马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/foshan/1274f566aec31c9fx.htm
猎豹CS10 2016款 2.0T 自动尊享型,严选车,6.97,原价7.25万,2016-08,3.58万公里,国四,2.0,0次过户,2020-8,2019-8,已过期,2.0T 177马力 L4,6档双离合变速箱(DCT),https://www.guazi.com/nn/5350e00677be77c7x.htm
北汽绅宝 绅宝D50 2016款 1.5L 手动精英版,严选车,¥3.44,新车指导价9.10万(含税),2016-03,6.25万公里,国五,1.5,0次过户,2020-3,2020-3,已过期,1.5L 113马力 L4,5档手动变速箱(MT),https://www.guazi.com/nn/974acd01bfe2a74fx.htm
北汽绅宝 绅宝D50 2014款 1.5L 手动标准版,严选车,¥3.17,新车指导价8.10万(含税),2015-01,5.84万公里,国四,1.5,1次过户,2020-1,2020-1,已过期,1.5L 113马力 L4,5档手动变速箱(MT),https://www.guazi.com/huizhou/8cdc6f8dd049b582x.htm
起亚 智跑 2015款 2.0L 自动两驱版GLS,严选车,9.52,原价9.8万,2016-04,4.13万公里,国五,2.0,0次过户,2020-4,2019-8,已过期,2.0L 165马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/dg/0ae8508203264acex.htm
现代 悦动 2011款 1.6L 手动舒适型,严选车,3.29,原价3.41万,2012-08,8.36万公里,国四,1.6,1次过户,2019-8,2019-9,已过期,1.6L 123马力 L4,5档手动变速箱(MT),https://www.guazi.com/nn/9cfbcd07e8aacd75x.htm
猎豹CS10 2016款 2.0T 自动尊享型,严选车,6.69,原价7.26万,2017-01,4.96万公里,国五,2.0,0次过户,2021-1,2019-12,已过期,2.0T 177马力 L4,6档双离合变速箱(DCT),https://www.guazi.com/dg/5ca88ac3fea76f71x.htm
猎豹CS10 2016款 2.0T 自动豪华型,严选车,6.47,原价6.96万,2016-08,3.41万公里,国四,2.0,0次过户,2020-8,2019-8,已过期,2.0T 177马力 L4,6档双离合变速箱(DCT),https://www.guazi.com/nn/95e4251d36346f75x.htm
大众 途观 2016款 300TSI 自动两驱舒适版,严选车,¥12.86,新车指导价25.80万(含税),2016-07,6.79万公里,国五,1.8,0次过户,2020-7,2019-7,已过期,1.8T 160马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/dg/21e0011c6a2103a6x.htm
奔驰A级(进口) 2017款 改款 A 200 动感型(进口),严选车,¥17.22,新车指导价27.90万(含税),2018-07,2.56万公里,国五,1.6,0次过户,2020-7,2019-6,已过期,1.6T 156马力 L4,7档双离合变速箱(DCT),https://www.guazi.com/dg/e9c9a470b2bb72c8x.htm
起亚 索兰托 2013款 2.4L 7座汽油舒适版 国IV(进口),严选车,11.60,原价11.88万,2014-04,3.8万公里,国四,2.4,2次过户,2020-4,2020-4,已过期,2.4L 190马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/nn/5381430a510b194cx.htm
长安CS75 2014款 1.8T 自动精英型 国IV,严选车,6.16,原价6.37万,2015-11,6.74万公里,国四,1.8,1次过户,2019-11,2019-11,已过期,1.8T 177马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/nn/de355207c86ffa68x.htm
奔腾X80 2013款 2.0L 自动豪华型,严选车,4.53,原价4.59万,2013-09,9.66万公里,国四,2.0,0次过户,2019-9,2019-9,已过期,2.0L 147马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/dg/58eee36b0487de3fx.htm
凯迪拉克XTS 2016款 28T 技术型,严选车,19.72,原价21.33万,2016-09,1.86万公里,国五,2.0,1次过户,2020-9,2019-9,已过期,2.0T 269马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/gz/49b44da5cee5fb40x.htm
北汽幻速S6 2017款 1.5T CVT乐享型,严选车,5.45,原价5.76万,2017-09,2.61万公里,国五,1.5,0次过户,2019-9,2019-8,已过期,1.5T 150马力 L4,6档无级变速箱(CVT),https://www.guazi.com/dg/961e1ca7f89f7ddcx.htm
北汽幻速H2 2016款 H2E 1.5L 精英型BJ415B,严选车,2.49,原价2.62万,2016-10,1.86万公里,国五,1.5,0次过户,2020-10,2019-10,已过期,1.5L 106马力 L4,5档手动变速箱(MT),https://www.guazi.com/dg/d5a856de39428678x.htm
东南DX3 2016款 1.5L 手动尊贵型,严选车,5.07,原价5.22万,2017-04,3万公里,国五,1.5,0次过户,2021-4,2020-4,已过期,1.5L 120马力 L4,5档手动变速箱(MT),https://www.guazi.com/nn/784d4038b0353e51x.htm
奥迪Q3 2015款 35 TFSI quattro 技术型,严选车,¥15.57,新车指导价36.20万(含税),2014-12,7.7万公里,国五,2.0,0次过户,2020-12,2019-12,2019-12,2.0T 170马力 L4,7档双离合变速箱(DCT),https://www.guazi.com/nn/10a563443f7ef866x.htm
丰田 皇冠 2010款 2.5L Royal 真皮天窗版,严选车,¥17.19,新车指导价37.20万(含税),2011-09,11.19万公里,国四,2.5,0次过户,2019-9,已过期,已过期,2.5L 193马力 V6,6档手自一体变速箱(AT),https://www.guazi.com/foshan/942f7d02d8a22ad7x.htm
奔驰GLK级 2012款 GLK 300 4MATIC 时尚型,严选车,¥16.91,新车指导价51.60万(含税),2012-11,7.81万公里,国四,3.0,0次过户,2019-11,2019-10,已过期,3.0L 245马力 V6,7档手自一体变速箱(AT),https://www.guazi.com/foshan/6869b9f38f633344x.htm
Jeep 自由光 2017款 2.4L 领先版智能包,严选车,¥14.52,新车指导价25.60万(含税),2017-10,3.35万公里,国五,2.4,0次过户,2019-10,2019-9,已过期,2.4L 175马力 L4,9档手自一体变速箱(AT),https://www.guazi.com/nn/748ef2c1154080bax.htm
传祺GS5 Super 2015款 2.0L 自动两驱精英版,严选车,¥5.19,新车指导价16.20万(含税),2015-03,11.35万公里,国四,2.0,0次过户,2021-3,2019-12,已过期,2.0L 147马力 L4,5档手自一体变速箱(AT),https://www.guazi.com/foshan/859fc5c8cbc8f3bbx.htm
五菱宏光 2015款 1.5L S基本型 国V,严选车,¥3.18,新车指导价5.70万(含税),2016-01,4.13万公里,国五,1.5,0次过户,2020-1,2019-12,已过期,1.5L 112马力 L4,5档手动变速箱(MT),https://www.guazi.com/dg/4d4f427bb786748cx.htm
福特 锐界 2016款 EcoBoost 245 两驱豪锐型 7座,严选车,¥21.23,新车指导价32.50万(含税),2016-12,2.67万公里,国五,2.0,0次过户,2020-2,2019-11,已过期,2.0T 245马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/zhuhai/5181906f72c6b013x.htm
日产 楼兰 2015款 2.5L XE 两驱精英版,严选车,15.51,原价15.98万,2016-02,5.44万公里,国五,2.5,1次过户,2020-2,2020-5,已过期,2.5L 186马力 L4,7档无级变速箱(CVT),https://www.guazi.com/nn/0f03a58ccdf2017dx.htm
江淮 瑞风S5 2015款 1.5T 手动舒适型,严选车,4.61,原价4.88万,2016-04,3.44万公里,国五,1.5,0次过户,2020-4,2020-4,已过期,1.5T 174马力 L4,6档手动变速箱(MT),https://www.guazi.com/dg/465672ca53d2cbb4x.htm
长安CS35 2014款 1.6L 手动豪华型 国IV,严选车,¥3.20,新车指导价9.00万(含税),2014-08,7.8万公里,国四,1.6,0次过户,2020-8,2019-7,已过期,1.6L 125马力 L4,5档手动变速箱(MT),https://www.guazi.com/dg/3f2235971ab668a2x.htm
奇瑞 瑞虎5 2014款 2.0L CVT家悦版,严选车,4.55,原价4.73万,2014-09,4.8万公里,国四,2.0,1次过户,2020-9,2019-9,已过期,2.0L 139马力 L4,7档无级变速箱(CVT),https://www.guazi.com/nn/ddff5c97e7864554x.htm
大众 朗行 2013款 1.4TSI 自动舒适型,严选车,¥7.38,新车指导价16.40万(含税),2014-01,4.07万公里,国四,1.4,0次过户,2020-1,2020-1,2020-1,1.4T 131马力 L4,7档双离合变速箱(DCT),https://www.guazi.com/sz/5a66d30e775f0ce5x.htm
大众 朗行 2013款 1.6L 自动风尚型,严选车,6.62,原价6.76万,2015-12,6.13万公里,国五,1.6,0次过户,2019-12,2020-1,已过期,1.6L 110马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/foshan/75b625a543342789x.htm
大众 朗行 2013款 1.4TSI 自动舒适型,严选车,6.65,原价6.94万,2013-10,6.81万公里,国四,1.4,0次过户,2019-10,2019-9,已过期,1.4T 131马力 L4,7档双离合变速箱(DCT),https://www.guazi.com/dg/0e18b45bb4b8a540x.htm
大众 桑塔纳 2013款 1.6L 自动舒适版,严选车,5.29,原价5.36万,2014-03,3.22万公里,国四,1.6,0次过户,2020-3,2020-3,已过期,1.6L 110马力 L4,6档自动变速箱(AT),https://www.guazi.com/foshan/76f67c3a796f511dx.htm
大众 朗行 2013款 1.6L 自动舒适型,严选车,¥6.24,新车指导价15.30万(含税),2014-01,7.75万公里,国四,1.6,0次过户,2020-1,2019-12,已过期,1.6L 110马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/foshan/3ef09da84d709881x.htm
大众 桑塔纳 2013款 1.6L 手动风尚版,严选车,¥3.21,新车指导价9.80万(含税),2013-10,13.13万公里,国四,1.6,0次过户,2019-10,2019-10,已过期,1.6L 110马力 L4,5档手动变速箱(MT),https://www.guazi.com/dg/e9b4949dd967c799x.htm
斯柯达 昕锐 2013款 1.6L 自动优选型,严选车,5.82,原价6.13万,2013-11,0.87万公里,国四,1.6,1次过户,2019-11,2020-3,已过期,1.6L 110马力 L4,6档自动变速箱(AT),https://www.guazi.com/nn/1aa8477b7195b845x.htm
大众 朗逸 2013款 改款经典 1.6L 自动舒适版,严选车,¥6.80,新车指导价15.00万(含税),2014-05,4.47万公里,国四,1.6,1次过户,2020-5,2020-5,已过期,1.6L 110马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/foshan/cbe7bf3964e93c45x.htm
大众POLO 2014款 1.6L 自动舒适版,严选车,5.70,原价5.79万,2015-06,2.45万公里,国五,1.6,0次过户,2019-6,2019-6,已过期,1.6L 110马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/foshan/2edc46a828c4c2f6x.htm
