车型,选车类型,价格/万,新车价格,上牌时间,公里数,排放标准,排量,过户信息,年检到期,交强险,商业险到期,发动机,变速箱,网址
北汽绅宝 绅宝D70 2018款 性能版 1.8T 尊贵版,严选车,9.68,原价9.69万,2019-05,0.01万公里,国五,1.8,0次过户,2021-5,2020-5,已过期,1.8T 177马力 L4,5档手自一体变速箱(AT),https://www.guazi.com/zz/5825984e9adae9c7x.htm
丰田 YARiS L 致炫 2016款 改款 1.5E CVT魅动版,严选车,¥6.27,新车指导价9.30万(含税),2017-03,3.77万公里,国五,1.5,0次过户,2021-3,2020-3,已过期,1.5L 107马力 L4,8档无级变速箱(CVT),https://www.guazi.com/ty/fed9deb72f9a51a1x.htm
福特 福克斯 2015款 三厢 1.6L 自动风尚型,严选车,¥7.27,新车指导价14.80万(含税),2016-04,4.08万公里,国五,1.6,0次过户,2020-4,2020-3,已过期,1.6L 125马力 L4,6档双离合变速箱(DCT),https://www.guazi.com/zz/e2568b6b3572c4d1x.htm
福特 福克斯 2017款 两厢 1.6L 自动风尚型智行版,降价急售,¥7.30,新车指导价15.10万(含税),2016-10,3.79万公里,国五,1.6,0次过户,2020-10,2019-9,已过期,1.6L 125马力 L4,6档双离合变速箱(DCT),https://www.guazi.com/zz/d40c7e941eb01dcdx.htm
大众 帕萨特 2013款 1.8TSI DSG御尊版,严选车,¥9.82,新车指导价26.00万(含税),2013-08,7.66万公里,国四,1.8,1次过户,2019-8,2019-10,已过期,1.8T 160马力 L4,7档双离合变速箱(DCT),https://www.guazi.com/xa/10771057f4666210x.htm
奔腾B50 2011款 1.6L 自动时尚型,严选车,¥3.05,新车指导价11.30万(含税),2010-12,6.87万公里,国四,1.6,2次过户,2019-12,2020-1,已过期,1.6L 103马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/zz/67c984c0df227f95x.htm
别克 凯越 2013款 1.5L 手动经典型,严选车,3.40,原价3.62万,2013-06,3.33万公里,国四,1.5,0次过户,2019-6,2019-7,已过期,1.5L 113马力 L4,5档手动变速箱(MT),https://www.guazi.com/xa/13259e642fc86213x.htm
大众CC 2012款 3.0FSI V6,严选车,¥11.58,新车指导价38.00万(含税),2013-01,10.24万公里,国四,3.0,2次过户,2020-1,2020-1,已过期,3.0L 250马力 V6,6档双离合变速箱(DCT),https://www.guazi.com/zz/022102cc6ac6173bx.htm
大众 凌渡 2015款 280TSI DSG舒适版,严选车,11.23,原价11.52万,2016-03,4.45万公里,国五,1.4,0次过户,2020-3,2020-2,已过期,1.4T 150马力 L4,7档双离合变速箱(DCT),https://www.guazi.com/ty/04495a39bb7ae9a3x.htm
别克 君威 2015款 2.0L 领先时尚型,严选车,9.39,原价9.59万,2015-05,4.63万公里,国五,2.0,0次过户,2019-5,2019-5,2019-5,2.0L 154马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/ty/974618d6680ae1a6x.htm
本田 飞度 2014款 1.5L LX CVT舒适型,严选车,¥5.77,新车指导价8.90万(含税),2015-06,6.11万公里,国五,1.5,0次过户,2019-6,2019-6,已过期,1.5L 131马力 L4,无级变速档无级变速箱(CVT),https://www.guazi.com/zz/df829b085980c8e0x.htm
丰田 雷凌 2016款 1.6G CVT精英版,0过户,¥8.20,新车指导价13.50万(含税),2016-05,6.24万公里,国五,1.6,0次过户,2020-5,2019-10,已过期,1.6L 122马力 L4,8档无级变速箱(CVT),https://www.guazi.com/wenzhou/8ac958befa3e5b2cx.htm
现代 途胜 2013款 2.0L 自动两驱舒适型,严选车,6.48,原价6.58万,2014-01,7.02万公里,国四,2.0,0次过户,2020-1,2020-1,已过期,2.0L 141马力 L4,4档手自一体变速箱(AT),https://www.guazi.com/zz/a1b02679e05684c2x.htm
大众 凌渡 2015款 330TSI DSG舒适版,降价急售,¥10.98,新车指导价21.20万(含税),2015-07,5.29万公里,国五,1.8,1次过户,2019-7,2019-7,已过期,1.8T 180马力 L4,7档双离合变速箱(DCT),https://www.guazi.com/wx/043d9d2acb0ac4b3x.htm
荣威360 2015款 1.5L 自动豪华版,严选车,¥4.65,新车指导价9.80万(含税),2016-01,3.62万公里,国五,1.5,1次过户,2020-1,2019-12,已过期,1.5L 109马力 L4,4档手自一体变速箱(AT),https://www.guazi.com/zz/e4a2729c3155745cx.htm
雪佛兰 赛欧 2013款 三厢 1.4L AMT优逸版,严选车,3.58,原价3.65万,2014-05,2.5万公里,国四,1.4,0次过户,2020-5,2020-4,已过期,1.4L 103马力 L4,5档机械式自动变速箱(AMT),https://www.guazi.com/ty/1e9c5a6e3eb110f6x.htm
福特 福睿斯 2017款 1.5L 手动舒适型,严选车,¥5.01,新车指导价10.50万(含税),2016-07,4.16万公里,国五,1.5,0次过户,2020-7,2019-6,已过期,1.5L 113马力 L4,5档手动变速箱(MT),https://www.guazi.com/zz/22b2e471ba8ebe37x.htm
起亚 狮跑 2011款 2.0L 自动两驱版GLS,严选车,¥5.61,新车指导价20.00万(含税),2011-05,6.11万公里,国四,2.0,0次过户,2020-5,2019-5,已过期,2.0L 142马力 L4,4档手自一体变速箱(AT),https://www.guazi.com/zz/c229e3bf3c0e9630x.htm
马自达 昂克赛拉 2016款 三厢 1.5L 自动舒适型,严选车,¥8.44,新车指导价13.70万(含税),2016-04,5.22万公里,国五,1.5,1次过户,2020-4,2020-3,已过期,1.5L 117马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/zz/ead076e0b8cc8768x.htm
长安CS75 2014款 2.0L 手动领先型 国IV,严选车,5.47,原价5.61万,2014-07,1.26万公里,国四,2.0,0次过户,2020-7,2019-7,已过期,2.0L 158马力 L4,6档手动变速箱(MT),https://www.guazi.com/ty/942f3dd4777caff2x.htm
别克 昂科拉 2014款 1.4T 自动两驱都市精英型,严选车,¥6.85,新车指导价17.40万(含税),2014-06,5.83万公里,国四,1.4,1次过户,2020-6,2019-6,已过期,1.4T 140马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/zz/950c05a5617c9589x.htm
荣威350 2015款 1.5L 手动豪华天窗版,严选车,¥4.09,新车指导价8.50万(含税),2015-12,5.7万公里,国四,1.5,1次过户,2019-12,2019-9,已过期,1.5L 109马力 L4,5档手动变速箱(MT),https://www.guazi.com/zz/315c182ff0095db2x.htm
荣威360 2017款 1.5L 自动智屏版,严选车,¥4.84,新车指导价9.30万(含税),2017-09,5.82万公里,国五,1.5,0次过户,2019-9,2019-9,已过期,1.5L 109马力 L4,4档手自一体变速箱(AT),https://www.guazi.com/ty/761869aa018a7833x.htm
MG6 2013款 掀背 1.8L 自动驾值版,严选车,4.52,原价4.78万,2013-05,4万公里,国四,1.8,0次过户,2020-5,2020-5,已过期,1.8L 133马力 L4,5档手自一体变速箱(AT),https://www.guazi.com/xa/1ae2b368b9c396b3x.htm
荣威350 2014款 1.5L 手动迅驰版,严选车,¥3.09,新车指导价8.20万(含税),2014-05,4.48万公里,国四,1.5,0次过户,2020-5,2020-5,已过期,1.5L 109马力 L4,5档手动变速箱(MT),https://www.guazi.com/zz/a1a8f767b57ac4f8x.htm
现代 索纳塔九 2015款 1.6T GLS智能型,严选车,¥12.39,新车指导价21.10万(含税),2016-01,2.97万公里,国四,1.6,0次过户,2020-1,2020-1,已过期,1.6T 180马力 L4,7档双离合变速箱(DCT),https://www.guazi.com/zz/b8b484b7a639f9b8x.htm
现代ix35 2012款 2.0L 自动两驱精英版GLS,严选车,7.38,原价7.44万,2013-09,6.5万公里,国四,2.0,0次过户,2019-9,2019-9,已过期,2.0L 165马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/zz/dffc6651864980e4x.htm
雪佛兰 迈锐宝 2017款 1.5T 自动豪华版,严选车,¥11.51,新车指导价19.50万(含税),2017-03,0.84万公里,国五,1.5,1次过户,2021-3,2020-4,已过期,1.5T 170马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/zz/a3f0d8ca58302206x.htm
马自达 昂克赛拉 2017款 三厢 2.0L 自动尊贵型,严选车,¥12.21,新车指导价16.90万(含税),2018-06,1.56万公里,国五,2.0,0次过户,2020-6,2019-6,已过期,2.0L 158马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/ty/633a58a106333868x.htm
雪佛兰 科鲁兹 2013款 掀背 1.6L 手动豪华型,降价急售,¥4.00,新车指导价12.60万(含税),2015-03,9.37万公里,国四,1.6,0次过户,2021-3,2020-1,已过期,1.6L 121马力 L4,5档手动变速箱(MT),https://www.guazi.com/qd/22b33db6829d07bbx.htm
长安CS75 2017款 尚酷版 1.5T 手动锋享型,严选车,¥6.37,新车指导价9.60万(含税),2017-08,1.4万公里,国五,1.5,1次过户,2019-8,2019-8,已过期,1.5T 170马力 L4,6档手动变速箱(MT),https://www.guazi.com/zz/0ebe8ab876df33e7x.htm
本田 雅阁 2015款 2.0L LXS  精英版,严选车,¥12.92,新车指导价20.60万(含税),2015-04,3.14万公里,国四,2.0,1次过户,2021-4,2020-4,已过期,2.0L 155马力 L4,无级变速档无级变速箱(CVT),https://www.guazi.com/ty/750b4a02169b0585x.htm
哈弗H6 Coupe 2016款 蓝标 1.5T 自动两驱精英型,严选车,¥8.31,新车指导价13.60万(含税),2017-07,3.31万公里,国五,1.5,0次过户,2019-7,2019-6,已过期,1.5T 150马力 L4,6档自动变速箱(AT),https://www.guazi.com/zz/8c1bc4c5166f4534x.htm
吉利 帝豪 2016款 三厢 1.5L 手动豪华型,0过户,¥4.00,新车指导价8.10万(含税),2016-09,4.35万公里,国五,1.5,0次过户,2020-9,2019-8,已过期,1.5L 109马力 L4,5档手动变速箱(MT),https://www.guazi.com/yantai/c63d050dea2d7f0cx.htm
雪佛兰 迈锐宝XL 2016款 1.5T 双离合锐耀版,严选车,¥12.87,新车指导价23.90万(含税),2016-12,2.62万公里,国五,1.5,0次过户,2020-12,2019-12,已过期,1.5T 170马力 L4,7档双离合变速箱(DCT),https://www.guazi.com/zz/6ebb56c804d51349x.htm
众泰T700 2017款 1.8T 双离合尊贵型,严选车,¥9.52,新车指导价15.20万(含税),2018-04,1.36万公里,国五,1.8,1次过户,2020-4,2019-6,已过期,1.8T 177马力 L4,6档双离合变速箱(DCT),https://www.guazi.com/zz/f8e8c4e99d26df7dx.htm
雪佛兰 创酷 2014款 1.4T 自动两驱豪华型,严选车,¥6.38,新车指导价14.50万(含税),2014-05,6.01万公里,国五,1.4,0次过户,2020-5,2019-5,已过期,1.4T 140马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/zz/6f713205e238f505x.htm
雪佛兰 创酷 2016款 1.4T 自动两驱豪华型,严选车,¥6.74,新车指导价14.50万(含税),2015-12,7.49万公里,国五,1.4,0次过户,2019-12,2019-12,已过期,1.4T 140马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/zz/5ccb049abda5bfb6x.htm
江淮 瑞风S3 2014款 1.5L 手动豪华型,降价急售,¥2.92,新车指导价7.60万(含税),2015-06,4.06万公里,国五,1.5,0次过户,2019-6,2019-6,已过期,1.5L 113马力 L4,6档手动变速箱(MT),https://www.guazi.com/nb/7d895a7f3ed29f2ax.htm
传祺GS4 2017款 235T 自动两驱豪华智联版,严选车,¥9.31,新车指导价15.60万(含税),2018-01,5.08万公里,国五,1.5,1次过户,2020-1,2019-12,已过期,1.5T 152马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/zz/8336c6a42bc7bb77x.htm
雪铁龙 爱丽舍 2015款 质尚版 1.6L 手动时尚型,严选车,¥3.32,新车指导价9.10万(含税),2015-03,9.07万公里,国五,1.6,0次过户,2021-3,2020-3,已过期,1.6L 117马力 L4,5档手动变速箱(MT),https://www.guazi.com/xa/7d7c743632adc61fx.htm
哈弗H7 2016款 蓝标H7 2.0T 自动豪华型,严选车,¥9.09,新车指导价17.30万(含税),2017-02,7.66万公里,国五,2.0,2次过户,2021-2,2019-6,已过期,2.0T 231马力 L4,6档双离合变速箱(DCT),https://www.guazi.com/zz/72edc66f56cb950fx.htm
哈弗H7 2016款 蓝标H7 2.0T 自动豪华型,严选车,¥9.13,新车指导价17.30万(含税),2017-02,6.61万公里,国五,2.0,0次过户,2021-2,2020-1,已过期,2.0T 231马力 L4,6档双离合变速箱(DCT),https://www.guazi.com/zz/09fe5d86fd12eae5x.htm
Jeep 指南者 2014款 改款 2.4L 四驱豪华版(进口),严选车,¥11.12,新车指导价29.30万(含税),2015-06,6.18万公里,国四,2.4,1次过户,2021-6,2020-5,已过期,2.4L 170马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/xa/b6327f100bf10b31x.htm
Jeep 自由侠 2017款 180T 自动高能版,严选车,¥9.79,新车指导价16.30万(含税),2017-12,2.19万公里,国五,1.4,1次过户,2019-12,2019-12,已过期,1.4T 150马力 L4,7档双离合变速箱(DCT),https://www.guazi.com/zz/de4812d5ac17e9bbx.htm
大众 迈腾 2013款 2.0TSI 至尊型,严选车,12.90,原价13.09万,2014-02,8.19万公里,国四,2.0,1次过户,2020-2,2020-2,已过期,2.0T 200马力 L4,6档双离合变速箱(DCT),https://www.guazi.com/zz/27d8b4662d452e7dx.htm
荣威RX5 2016款 30T 两驱自动互联网智享版,严选车,¥10.64,新车指导价18.10万(含税),2016-09,2.3万公里,国五,2.0,0次过户,2020-9,2019-9,已过期,2.0T 220马力 L4,6档双离合变速箱(DCT),https://www.guazi.com/zz/8e3aaa119d28b517x.htm
Jeep 指南者 2017款 200T 自动家享版,严选车,¥12.56,新车指导价19.50万(含税),2017-11,1.93万公里,国五,1.4,0次过户,2019-11,2019-11,2019-11,1.4T 165马力 L4,7档双离合变速箱(DCT),https://www.guazi.com/ty/8c6dbfa442893abbx.htm
Jeep 自由光 2016款 2.4L 领先版,严选车,13.25,原价13.5万,2016-10,3.82万公里,国五,2.4,0次过户,2020-10,2019-9,已过期,2.4L 175马力 L4,9档手自一体变速箱(AT),https://www.guazi.com/ty/c4683e0529242180x.htm
奥迪Q3 2013款 35 TFSI 舒适型,严选车,¥13.78,新车指导价34.30万(含税),2014-01,4.55万公里,国四,2.0,0次过户,2020-1,2020-1,已过期,2.0T 170马力 L4,7档双离合变速箱(DCT),https://www.guazi.com/ty/e38b95c9953086fdx.htm
奔驰C级 2016款 C 200 L 运动型,严选车,¥25.63,新车指导价38.40万(含税),2016-04,3.54万公里,国五,2.0,0次过户,2020-4,2020-4,已过期,2.0T 184马力 L4,7档手自一体变速箱(AT),https://www.guazi.com/ty/cc5c8ec559bcc47fx.htm
三菱 欧蓝德 2018款 2.4L 四驱豪华版 7座,严选车,¥14.21,新车指导价21.40万(含税),2017-10,3.8万公里,国五,2.4,1次过户,2019-10,2019-11,已过期,2.4L 192马力 L4,6档无级变速箱(CVT),https://www.guazi.com/zz/9ee87b969dd269d1x.htm
沃尔沃XC60 2014款 改款 T5 智逸版(进口),严选车,¥15.83,新车指导价46.00万(含税),2014-08,15.56万公里,国四,2.0,1次过户,2020-8,2019-7,已过期,2.0T 245马力 L4,8档自动变速箱(AT),https://www.guazi.com/zz/e3474fd5caf3dc4ax.htm
