车型,选车类型,价格/万,新车价格,上牌时间,公里数,排放标准,排量,过户信息,年检到期,交强险,商业险到期,发动机,变速箱,网址
大众POLO 2012款 1.6L Cross POLO AT,严选车,¥6.47,新车指导价13.70万(含税),2014-05,2.42万公里,国四,1.6,0次过户,2020-5,2019-6,已过期,1.6L 105马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/cd/29a02e3015f90577x.htm
标致308 2018款 1.6L 自动豪华版,严选车,¥8.25,新车指导价13.90万(含税),2018-04,0.98万公里,国五,1.6,1次过户,2020-4,2019-6,已过期,1.6L 117马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/cd/8893248e58c05b93x.htm
大众POLO 2016款 1.4L 手动风尚型,降价急售,¥4.43,新车指导价8.20万(含税),2016-03,3.25万公里,国五,1.4,0次过户,2020-3,2020-3,已过期,1.4L 90马力 L4,5档手动变速箱(MT),https://www.guazi.com/linyi/934913c81f3d401ax.htm
雪佛兰 科鲁兹 2013款 1.8L SE AT,严选车,¥5.70,新车指导价14.90万(含税),2014-04,4.03万公里,国四,1.8,1次过户,2020-4,2020-4,已过期,1.8L 147马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/cd/02bdb05426a58a36x.htm
大众 速腾 2012款 1.4TSI 自动时尚型,严选车,¥5.83,新车指导价16.90万(含税),2012-06,9.48万公里,国四,1.4,1次过户,2019-6,2019-6,已过期,1.4T 131马力 L4,7档双离合变速箱(DCT),https://www.guazi.com/cq/0caba912f310b1f2x.htm
日产 轩逸 2016款 1.6XV CVT智享版,0过户,¥7.60,新车指导价15.20万(含税),2016-07,9.66万公里,国五,1.6,0次过户,2020-7,2019-6,已过期,1.6L 126马力 L4,无级变速档无级变速箱(CVT),https://www.guazi.com/nb/775408fa7d014545x.htm
大众 高尔夫 2011款 1.6 自动舒适型,,¥5.40,新车指导价15.20万(含税),2011-06,6.09万公里,国四,1.6,1次过户,2019-6,2019-6,已过期,1.6L 105马力 L4,7档双离合变速箱(DCT),https://www.guazi.com/qd/cc00c35b11a0514dx.htm
福特 福克斯 2017款 两厢 1.6L 自动风尚型智行版,降价急售,¥7.30,新车指导价15.10万(含税),2016-10,3.79万公里,国五,1.6,0次过户,2020-10,2019-9,已过期,1.6L 125马力 L4,6档双离合变速箱(DCT),https://www.guazi.com/zz/d40c7e941eb01dcdx.htm
丰田 雷凌 2016款 1.6G CVT精英版,0过户,¥8.20,新车指导价13.50万(含税),2016-05,6.24万公里,国五,1.6,0次过户,2020-5,2019-10,已过期,1.6L 122马力 L4,8档无级变速箱(CVT),https://www.guazi.com/wenzhou/8ac958befa3e5b2cx.htm
斯柯达 昕锐 2015款 1.6L 手动智选型,严选车,¥5.30,新车指导价10.40万(含税),2014-08,3.12万公里,国四,1.6,0次过户,2020-8,2019-8,已过期,1.6L 110马力 L4,5档手动变速箱(MT),https://www.guazi.com/cd/99d9ad4e962ed801x.htm
福特 福睿斯 2015款 1.5L 手动时尚型,严选车,5.48,原价5.67万,2016-04,2.48万公里,国五,1.5,0次过户,2020-4,2020-3,已过期,1.5L 113马力 L4,5档手动变速箱(MT),https://www.guazi.com/cd/1757a98c859dc372x.htm
雪铁龙C4L 2013款 1.8L 自动劲智版,严选车,¥5.29,新车指导价17.10万(含税),2013-09,9.48万公里,国四,1.8,1次过户,2019-9,2019-9,已过期,1.8L 139马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/cd/e27b3702569a0727x.htm
荣威350 2013款 350S 1.5L 手动迅驰版,严选车,¥2.87,新车指导价9.70万(含税),2013-08,11.06万公里,国四,1.5,1次过户,2019-8,2019-7,已过期,1.5L 109马力 L4,5档手动变速箱(MT),https://www.guazi.com/cd/109104399c6e752bx.htm
丰田 凯美瑞 2013款 2.0G 舒适版,降价急售,¥10.00,新车指导价20.60万(含税),2013-12,7.58万公里,国四,2.0,1次过户,2019-12,2020-3,已过期,2.0L 148马力 L4,4档手自一体变速箱(AT),https://www.guazi.com/nn/9b4edb28f0bbe490x.htm
大众 凌渡 2015款 330TSI DSG舒适版,降价急售,¥10.98,新车指导价21.20万(含税),2015-07,5.29万公里,国五,1.8,1次过户,2019-7,2019-7,已过期,1.8T 180马力 L4,7档双离合变速箱(DCT),https://www.guazi.com/wx/043d9d2acb0ac4b3x.htm
DS 5 2014款 1.6T 雅致版THP160,严选车,9.16,原价9.64万,2014-07,8.01万公里,国五,1.6,1次过户,2020-7,2020-4,已过期,1.6T 163马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/cd/f1dcc81eefd7d4fax.htm
标致408 2013款 2.0L 手动舒适版,严选车,¥3.83,新车指导价14.30万(含税),2014-04,8.4万公里,国四,2.0,1次过户,2020-4,2020-3,已过期,2.0L 147马力 L4,5档手动变速箱(MT),https://www.guazi.com/cd/9bccee4254cdde53x.htm
别克 凯越 2013款 1.5L 自动经典型,严选车,¥3.99,新车指导价11.10万(含税),2014-03,4.43万公里,国四,1.5,1次过户,2020-3,2020-2,已过期,1.5L 113马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/cq/797cde22c6b76a78x.htm
雪佛兰 科鲁兹 2013款 1.6L SL MT,严选车,¥4.62,新车指导价11.80万(含税),2014-09,5.11万公里,国四,1.6,0次过户,2020-9,2019-9,已过期,1.6L 121马力 L4,5档手动变速箱(MT),https://www.guazi.com/cd/eada4c19fe4f00dbx.htm
标致207 2011款 两厢 1.4L 手动驭乐版,严选车,¥2.57,新车指导价7.80万(含税),2014-01,3.64万公里,国四,1.4,0次过户,2020-1,2020-1,已过期,1.4L 76马力 L4,5档手动变速箱(MT),https://www.guazi.com/cd/b97f2203fe66f77bx.htm
标致308 2014款 乐享版 经典 1.6L 自动优尚型,严选车,¥4.89,新车指导价12.60万(含税),2015-08,4.03万公里,国五,1.6,0次过户,2019-8,2019-7,已过期,1.6L 117马力 L4,4档手自一体变速箱(AT),https://www.guazi.com/cd/5aee18cabcb3369bx.htm
雪佛兰 科鲁兹 2013款 1.6L SL MT,0过户,¥4.00,新车指导价11.80万(含税),2014-03,6.88万公里,国四,1.6,0次过户,2020-3,2020-3,已过期,1.6L 121马力 L4,5档手动变速箱(MT),https://www.guazi.com/nb/f73f1f49c2b0dbc8x.htm
雪铁龙C2 2012款 1.6L 自动运动型,严选车,¥2.70,新车指导价9.70万(含税),2012-12,4.11万公里,国四,1.6,2次过户,2019-12,2019-12,已过期,1.6L 106马力 L4,4档手自一体变速箱(AT),https://www.guazi.com/cd/c51d34b9c5a2333dx.htm
别克 凯越 2015款 1.5L 手动经典型,严选车,4.60,原价4.69万,2015-07,2.84万公里,国五,1.5,0次过户,2019-7,2019-7,已过期,1.5L 113马力 L4,5档手动变速箱(MT),https://www.guazi.com/cd/53e87d9086b0fcaex.htm
北汽绅宝 绅宝X55 2016款 1.5T CVT豪华版,严选车,¥6.78,新车指导价13.00万(含税),2018-02,1.35万公里,国五,1.5,2次过户,2020-2,2019-6,已过期,1.5T 150马力 L4,无级变速档无级变速箱(CVT),https://www.guazi.com/cd/96cd3c7f84df5fe8x.htm
菲亚特 菲翔 2012款 1.4T 自动悦享版,严选车,¥4.89,新车指导价13.30万(含税),2014-08,10.83万公里,国四,1.4,0次过户,2020-8,2019-8,已过期,1.4T 120马力 L4,6档双离合变速箱(DCT),https://www.guazi.com/cd/ab3da807af53c29ax.htm
沃尔沃S80L 2012款 2.0T T5 智雅版,严选车,12.71,原价12.73万,2012-11,7.57万公里,国四,2.0,1次过户,2019-11,2019-11,已过期,2.0T 240马力 L4,6档双离合变速箱(DCT),https://www.guazi.com/cq/a7af445f48b51a6bx.htm
北汽绅宝 绅宝X55 2016款 1.5T CVT豪华版,严选车,¥6.71,新车指导价13.00万(含税),2018-05,1.14万公里,国五,1.5,2次过户,2020-5,2019-5,已过期,1.5T 150马力 L4,无级变速档无级变速箱(CVT),https://www.guazi.com/cd/f632bb1129c761e6x.htm
起亚K2 2015款 三厢 1.4L MT GLS,,¥4.50,新车指导价8.50万(含税),2015-08,4万公里,国四,1.4,1次过户,2019-8,2019-8,已过期,1.4L 107马力 L4,5档手动变速箱(MT),https://www.guazi.com/jn/979b49f26138fd18x.htm
奇瑞 艾瑞泽7 2015款 1.6L 手动致领版,严选车,¥3.87,新车指导价7.90万(含税),2015-06,6.26万公里,国五,1.6,0次过户,2019-6,2019-6,已过期,1.6L 126马力 L4,5档手动变速箱(MT),https://www.guazi.com/cd/b110e84ece179896x.htm
斯柯达 晶锐 2014款 1.4L 手动晶致版,严选车,¥3.40,新车指导价8.60万(含税),2014-11,6.26万公里,国五,1.4,1次过户,2020-11,2019-11,已过期,1.4L 86马力 L4,5档手动变速箱(MT),https://www.guazi.com/cd/8659880ecb52b0ebx.htm
海马 福美来 2015款 1.6L 手动悦尚型,严选车,¥3.38,新车指导价9.20万(含税),2016-02,8.23万公里,国四,1.6,0次过户,2020-2,2020-2,已过期,1.6L 125马力 L4,6档手动变速箱(MT),https://www.guazi.com/cq/9db35f415bdebaa0x.htm
标致3008 2013款 2.0L 自动潮流版,严选车,7.59,原价8.34万,2014-10,4.69万公里,国五,2.0,1次过户,2020-10,2019-9,已过期,2.0L 147马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/cd/acddcfb7efde46a3x.htm
日产 逍客 2012款 2.0XV 雷 CVT 2WD,严选车,¥8.08,新车指导价19.60万(含税),2013-11,5.99万公里,国四,2.0,1次过户,2019-11,2019-11,已过期,2.0L 144马力 L4,6档无级变速箱(CVT),https://www.guazi.com/cd/b6ada8f73068d0a8x.htm
雪铁龙 爱丽舍 2014款 1.6L 手动舒适型,严选车,3.45,原价3.8万,2014-02,8.99万公里,国四,1.6,1次过户,2020-2,2020-4,已过期,1.6L 117马力 L4,5档手动变速箱(MT),https://www.guazi.com/cd/8aa496123f177f30x.htm
雪佛兰 科鲁兹 2015款 1.5L 经典 SL MT,严选车,¥3.72,新车指导价9.80万(含税),2014-12,9.02万公里,国五,1.5,0次过户,2020-12,2019-11,已过期,1.5L 113马力 L4,5档手动变速箱(MT),https://www.guazi.com/cq/3230da0f690ba94bx.htm
吉利 帝豪 2016款 三厢 1.5L 手动豪华型,0过户,¥4.00,新车指导价8.10万(含税),2016-09,4.35万公里,国五,1.5,0次过户,2020-9,2019-8,已过期,1.5L 109马力 L4,5档手动变速箱(MT),https://www.guazi.com/yantai/c63d050dea2d7f0cx.htm
江铃 驭胜S350 2016款 2.0T 手动四驱汽油豪华天窗版5座,严选车,7.97,原价8.24万,2016-12,3.31万公里,国四,2.0,0次过户,2020-12,2019-12,已过期,2.0T 205马力 L4,6档手动变速箱(MT),https://www.guazi.com/cq/b97188b49474ef40x.htm
吉利 博越 2016款 1.8TD 自动智慧型,严选车,¥8.71,新车指导价15.20万(含税),2017-06,3.49万公里,国五,1.8,1次过户,2019-6,2019-6,已过期,1.8T 184马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/cd/07ad6e4094890764x.htm
荣威550 2012款 550 1.8T 自动足金限量版,严选车,¥3.54,新车指导价15.40万(含税),2012-09,8.31万公里,国四,1.8,0次过户,2019-9,2019-9,已过期,1.8T 160马力 L4,5档手自一体变速箱(AT),https://www.guazi.com/cd/d28e318173447812x.htm
标致2008 2014款 1.6L 自动潮流版,严选车,¥6.32,新车指导价11.90万(含税),2015-07,3万公里,国五,1.6,0次过户,2019-7,2019-7,已过期,1.6L 117马力 L4,4档手自一体变速箱(AT),https://www.guazi.com/cd/4f908847ebfe3d97x.htm
北汽绅宝 绅宝D50 2015款 1.5L 手动舒适超值导航版,严选车,¥3.33,新车指导价8.90万(含税),2015-12,6.28万公里,国五,1.5,1次过户,2019-12,2019-12,2019-12,1.5L 113马力 L4,5档手动变速箱(MT),https://www.guazi.com/cd/20f12a7324fb7c20x.htm
吉利 博越 2016款 1.8TD 自动智尊型,严选车,¥10.68,新车指导价16.20万(含税),2017-11,2.29万公里,国五,1.8,1次过户,2019-11,2019-10,已过期,1.8T 184马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/cd/a611ae130605bce8x.htm
DS 6 2014款 1.6T 雅致版THP160,严选车,8.76,原价8.89万,2015-10,6.17万公里,国五,1.6,1次过户,2019-10,2019-9,已过期,1.6T 167马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/cq/7c9d4f4adc370852x.htm
雪佛兰 科鲁兹 2013款 掀背 1.6L 手动豪华型,降价急售,¥4.00,新车指导价12.60万(含税),2015-03,9.37万公里,国四,1.6,0次过户,2021-3,2020-1,已过期,1.6L 121马力 L4,5档手动变速箱(MT),https://www.guazi.com/qd/22b33db6829d07bbx.htm
马自达CX-5 2013款 2.0L 自动两驱舒适型,严选车,¥10.22,新车指导价20.00万(含税),2014-09,5.5万公里,国四,2.0,1次过户,2020-9,2019-9,已过期,2.0L 155马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/cd/de4a7c67a540dafbx.htm
荣威350 2015款 1.5L 手动豪华天窗版,严选车,¥3.42,新车指导价8.50万(含税),2015-08,9.73万公里,国五,1.5,0次过户,2019-8,2019-8,已过期,1.5L 109马力 L4,5档手动变速箱(MT),https://www.guazi.com/cd/47cdec93ad2bc165x.htm
吉利 远景SUV 2016款 1.3T CVT豪华型,严选车,6.20,原价6.25万,2017-06,3.81万公里,国五,1.3,0次过户,2019-6,2020-6,已过期,1.3T 133马力 L4,8档无级变速箱(CVT),https://www.guazi.com/cd/8d9417251e0bf694x.htm
金杯 阁瑞斯 2018款 2.0L快运豪华型7座V19,降价急售,¥5.36,新车指导价10.10万(含税),2018-05,4.53万公里,国五,2.0,0次过户,2020-5,2020-3,已过期,2.0L 106马力 L4,5档手动变速箱(MT),https://www.guazi.com/sy/96743a05846cbe70x.htm
荣威RX5 2016款 30T 四驱自动互联网智尊版,严选车,11.32,原价11.34万,2017-08,2.71万公里,国五,2.0,1次过户,2019-8,2019-7,已过期,2.0T 220马力 L4,6档双离合变速箱(DCT),https://www.guazi.com/cq/324899dc1dedfdf7x.htm
宝沃汽车 宝沃BX7 2016款 28T 两驱精英版 5座,严选车,9.70,原价9.89万,2016-07,8.45万公里,国五,2.0,0次过户,2020-7,2019-7,已过期,2.0T 224马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/cq/f3132ee618ef9b20x.htm
传祺GS4 2017款 235T 自动两驱豪华智联版,严选车,¥8.25,新车指导价15.60万(含税),2017-05,8.5万公里,国五,1.5,0次过户,2021-5,2019-7,已过期,1.5T 152马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/cd/509ba4ba155263dfx.htm
起亚 狮跑 2012款 2.0L 自动两驱版GLS,严选车,¥5.95,新车指导价20.00万(含税),2012-10,7.25万公里,国四,2.0,1次过户,2019-10,2019-10,已过期,2.0L 142马力 L4,4档手自一体变速箱(AT),https://www.guazi.com/cd/8b0f7a0f13181ec8x.htm
吉利 远景SUV 2016款 1.3T CVT豪华型,严选车,¥6.35,新车指导价10.30万(含税),2017-02,6.78万公里,国五,1.3,0次过户,2021-2,2020-2,已过期,1.3T 133马力 L4,8档无级变速箱(CVT),https://www.guazi.com/cd/b99f777d6746e2d8x.htm
东风风行 景逸X5 2013款 1.6L 手动尊享型 国IV,严选车,¥3.10,新车指导价9.40万(含税),2014-12,5.35万公里,国四,1.6,1次过户,2020-12,2019-11,已过期,1.6L 122马力 L4,5档手动变速箱(MT),https://www.guazi.com/cd/0ee416b45dc22cfcx.htm
宝骏510 2017款 1.5L 自动豪华型,准新车,¥5.50,新车指导价8.20万(含税),2018-07,2.4万公里,国五,1.5,0次过户,2020-7,2019-7,2019-7,1.5L 112马力 L4,5档机械式自动变速箱(AMT),https://www.guazi.com/linyi/7e8808823d830f05x.htm
标致4008 2017款 350THP 精英版,严选车,¥13.47,新车指导价22.70万(含税),2017-06,2.8万公里,国五,1.6,0次过户,2019-6,2019-6,已过期,1.6T 167马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/cd/5e015280202f6d6ax.htm
福特 翼虎 2013款 2.0L GTDi 四驱尊贵型,严选车,10.46,原价10.78万,2014-03,8.56万公里,国四,2.0,1次过户,2020-3,2020-2,已过期,2.0T 242马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/cq/dab8d9e949cb9327x.htm
宝马X1 2013款 sDrive18i 运动设计套装,严选车,¥11.20,新车指导价36.80万(含税),2013-12,12.75万公里,国四,2.0,1次过户,2019-12,2019-11,已过期,2.0L 150马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/mianyang/fab0223780aaa7c6x.htm
五菱荣光V 2016款 1.2L标准型,降价急售,¥2.70,新车指导价4.60万(含税),2016-11,4.81万公里,国五,1.2,1次过户,2020-11,2019-11,2019-11,1.2L 88马力 L4,5档手动变速箱(MT),https://www.guazi.com/sh/0164783dff496e12x.htm
荣威W5 2011款 1.8T 2WD 自动胜域版,严选车,¥5.45,新车指导价20.30万(含税),2013-01,4.54万公里,国四,1.8,0次过户,2020-1,2020-1,已过期,1.8T 160马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/cd/ac6bff4af53dfd40x.htm
标致2008 2014款 1.6L 自动潮流版,严选车,5.33,原价5.61万,2015-07,5.76万公里,国五,1.6,0次过户,2019-7,2019-7,2019-7,1.6L 117马力 L4,4档手自一体变速箱(AT),https://www.guazi.com/cd/b7a1abb0e7d04520x.htm
福特 金牛座 2017款 EcoBoost 325 V6 LTD限量版,严选车,¥24.55,新车指导价40.10万(含税),2019-05,0.07万公里,国五,2.7,0次过户,2021-5,2020-5,已过期,2.7T 329马力 V6,6档手自一体变速箱(AT),https://www.guazi.com/cq/e175e5abd2b00068x.htm
东风风行 风行CM7 2018款 2.0T 自动旗舰型,严选车,¥15.97,新车指导价25.00万(含税),2019-01,0.75万公里,国五,2.0,1次过户,2021-1,2020-1,已过期,2.0T 190马力 L4,6档自动变速箱(AT),https://www.guazi.com/cd/c40c019a61b7d892x.htm
长安CS35 2012款 1.6L 手动豪华型 国IV,严选车,¥3.25,新车指导价9.00万(含税),2013-01,3.59万公里,国四,1.6,1次过户,2020-1,2020-1,已过期,1.6L 125马力 L4,5档手动变速箱(MT),https://www.guazi.com/cd/ec277d6ba47af1eex.htm
别克 昂科威 2017款 20T 两驱精英型,降价急售,¥15.60,新车指导价25.60万(含税),2017-04,1.35万公里,国五,1.5,0次过户,2021-4,2020-4,2020-4,1.5T 169马力 L4,7档双离合变速箱(DCT),https://www.guazi.com/jilin/d30502ca04808e47x.htm
江淮 瑞风S3 2014款 1.5L 手动豪华型,降价急售,¥2.92,新车指导价7.60万(含税),2015-06,4.06万公里,国五,1.5,0次过户,2019-6,2019-6,已过期,1.5L 113马力 L4,6档手动变速箱(MT),https://www.guazi.com/nb/7d895a7f3ed29f2ax.htm
比速汽车 比速T3 2017款 1.3T 手动豪华型,严选车,4.56,原价4.65万,2017-03,3.08万公里,国五,1.3,0次过户,2021-3,2020-2,已过期,1.3T 133马力 L4,5档手动变速箱(MT),https://www.guazi.com/cq/35fff7b5258290d5x.htm
福特 锐界 2015款 2.0T GTDi 两驱豪锐型,严选车,¥19.06,新车指导价32.50万(含税),2016-03,3.47万公里,国五,2.0,1次过户,2020-3,2020-5,已过期,2.0T 245马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/cd/8264bfd1db343cf8x.htm
比亚迪S6 2014款 2.0L 手动豪华型 5座,严选车,3.31,原价3.43万,2015-06,5.52万公里,国四,2.0,2次过户,2019-6,2019-6,已过期,2.0L 140马力 L4,5档手动变速箱(MT),https://www.guazi.com/mianyang/a33e3678d638aff7x.htm
宝马3系 2014款 320Li 豪华设计套装,严选车,¥21.13,新车指导价43.70万(含税),2014-05,4.68万公里,国四,2.0,0次过户,2020-5,2019-5,已过期,2.0T 184马力 L4,8档手自一体变速箱(AT),https://www.guazi.com/cd/8e87c2689f30c8ddx.htm
