
车型,选车类型,价格/万,新车价格,上牌时间,公里数,排放标准,排量,过户信息,年检到期,交强险,商业险到期,发动机,变速箱,网址
大众 朗行 2013款 1.6L 自动豪华型,严选车,¥7.75,新车指导价16.60万(含税),2015-05,4.66万公里,国五,1.6,0次过户,2021-5,2020-4,2020-4,1.6L 110马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/bj/c2ba2dd8ca37e1d4x.htm
大众 朗逸 2013款 改款经典 1.6L 手动风尚版,严选车,¥5.32,新车指导价12.30万(含税),2013-04,4.79万公里,国四,1.6,0次过户,2020-4,2020-4,已过期,1.6L 110马力 L4,5档手动变速箱(MT),https://www.guazi.com/bj/1d4fec8253001ae3x.htm
别克 英朗 2013款 GT 1.6L 自动时尚版,严选车,¥6.04,新车指导价16.60万(含税),2015-01,4.68万公里,国五,1.6,1次过户,2021-1,2019-12,已过期,1.6L 121马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/sjz/fd7f728ea77796f4x.htm
大众 桑塔纳 2013款 1.6L 手动豪华版,严选车,4.34,原价4.52万,2013-05,4.81万公里,国四,1.6,0次过户,2020-5,2020-5,已过期,1.6L 110马力 L4,5档手动变速箱(MT),https://www.guazi.com/bj/f235eb2f5cc26d88x.htm
大众 宝来 2012款 1.6L 手动时尚型,严选车,3.59,原价3.89万,2011-11,3.46万公里,国四,1.6,0次过户,2019-11,2019-11,已过期,1.6L 105马力 L4,5档手动变速箱(MT),https://www.guazi.com/tj/dd10804382750334x.htm
雪铁龙C4L 2013款 1.6THP 自动劲智版,严选车,6.01,原价6.19万,2013-10,6.32万公里,国四,1.6,0次过户,2019-10,2019-10,已过期,1.6T 163马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/bj/bf9f552595bc4692x.htm
雪铁龙C4L 2013款 1.8L 手动劲智版,严选车,5.45,原价5.68万,2013-10,3.04万公里,国四,1.8,0次过户,2019-10,2019-10,已过期,1.8L 139马力 L4,5档手动变速箱(MT),https://www.guazi.com/bj/70430ba2d85fb5ffx.htm
长安 睿骋 2014款 1.8T 自动尊贵周年版 国V,严选车,6.03,原价6.27万,2015-05,2.52万公里,国五,1.8,0次过户,2021-5,2019-6,已过期,1.8T 177马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/bj/a54dfece681f5582x.htm
标致508 2013款 2.0L 两周年纪念 自动天窗经典版,严选车,¥7.35,新车指导价19.70万(含税),2014-10,5.14万公里,国五,2.0,0次过户,2020-10,2019-10,已过期,2.0L 147马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/bj/5026a6ace2204c77x.htm
大众POLO 2011款 1.4L 自动致尚版,严选车,¥4.49,新车指导价11.60万(含税),2012-11,4.87万公里,国四,1.4,0次过户,2019-11,2019-11,2019-11,1.4L 86马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/bj/4cf78c66748b3608x.htm
大众 高尔夫 2011款 1.6 自动舒适型,,¥5.40,新车指导价15.20万(含税),2011-06,6.09万公里,国四,1.6,1次过户,2019-6,2019-6,已过期,1.6L 105马力 L4,7档双离合变速箱(DCT),https://www.guazi.com/qd/cc00c35b11a0514dx.htm
起亚K3 2013款 1.6L 手动GLS,严选车,¥4.86,新车指导价12.50万(含税),2014-03,3.57万公里,国四,1.6,0次过户,2020-3,2020-3,已过期,1.6L 128马力 L4,6档手动变速箱(MT),https://www.guazi.com/bj/ecdf0412c84478bfx.htm
福特 福克斯 2017款 两厢 1.6L 自动风尚型智行版,降价急售,¥7.30,新车指导价15.10万(含税),2016-10,3.79万公里,国五,1.6,0次过户,2020-10,2019-9,已过期,1.6L 125马力 L4,6档双离合变速箱(DCT),https://www.guazi.com/zz/d40c7e941eb01dcdx.htm
马自达6 2012款 2.0L 自动时尚型,严选车,¥5.85,新车指导价19.50万(含税),2012-12,9.15万公里,国四,2.0,0次过户,2019-12,2019-12,已过期,2.0L 147马力 L4,5档手自一体变速箱(AT),https://www.guazi.com/bj/32a6cde3ca0fef15x.htm
大众POLO 2011款 1.4L 手动致乐版,0过户,¥2.77,新车指导价9.30万(含税),2012-02,10.54万公里,国四,1.4,0次过户,2020-2,2020-1,已过期,1.4L 86马力 L4,5档手动变速箱(MT),https://www.guazi.com/xuzhou/d7f3fe5ecd83bce9x.htm
别克 君威 2015款 2.0L 精英时尚型,严选车,¥9.60,新车指导价21.00万(含税),2014-11,4.63万公里,国五,2.0,1次过户,2020-11,2019-11,2019-11,2.0L 154马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/tangshan/01d0620e89e744ecx.htm
雪铁龙C4L 2013款 1.8L 自动劲享版,严选车,5.48,原价5.77万,2013-07,5.04万公里,国四,1.8,0次过户,2019-7,2019-7,已过期,1.8L 139马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/sjz/108bf72272c304a7x.htm
日产 天籁 2011款 2.5L XL领先版,严选车,¥8.02,新车指导价24.40万(含税),2011-08,8.92万公里,国四,2.5,0次过户,2019-8,2019-9,已过期,2.5L 185马力 V6,6档无级变速箱(CVT),https://www.guazi.com/bj/c5f943920e0a19e5x.htm
现代 索纳塔八 2011款 2.0L 自动至尊版,严选车,6.80,原价6.92万,2012-07,6.48万公里,国四,2.0,1次过户,2019-7,2019-12,已过期,2.0L 165马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/bj/fc9a4a53cfdd3e0dx.htm
标致307 2013款 两厢 1.6L 手动舒适版,严选车,¥3.65,新车指导价10.50万(含税),2013-10,1.48万公里,国四,1.6,0次过户,2019-10,2019-10,已过期,1.6L 117马力 L4,5档手动变速箱(MT),https://www.guazi.com/tj/fffb9911146df8acx.htm
别克 君威 2015款 2.0L 领先时尚型,严选车,¥9.70,新车指导价19.40万(含税),2015-04,6.98万公里,国五,2.0,1次过户,2021-4,2020-4,已过期,2.0L 154马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/langfang/082c2b11591ee5e2x.htm
北京汽车E系列 2013款 三厢 1.5L 自动乐尚版,严选车,2.89,原价2.94万,2014-11,3.15万公里,国五,1.5,0次过户,2020-11,2019-11,已过期,1.5L 113马力 L4,4档自动变速箱(AT),https://www.guazi.com/bj/57a84aeaaf75030cx.htm
别克 君威 2014款 2.0L 精英时尚型,严选车,9.04,原价9.33万,2014-12,5万公里,国五,2.0,0次过户,2020-12,2019-11,已过期,2.0L 154马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/bj/b2f0dd5304adca47x.htm
别克 君越 2012款 2.4L SIDI豪华版,严选车,9.14,原价9.65万,2012-12,5.98万公里,国四,2.4,0次过户,2019-12,2020-2,已过期,2.4L 186马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/bj/097b672c715cf888x.htm
起亚 凯尊 2012款 2.4L 尊贵型(进口),严选车,8.50,原价8.68万,2012-09,5.08万公里,国四,2.4,0次过户,2019-9,2019-9,已过期,2.4L 180马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/bj/aefb22500a60112dx.htm
吉利 博瑞 2018款 1.8T 尊尚智领版,严选车,¥11.40,新车指导价16.80万(含税),2018-06,4.25万公里,国四,1.8,0次过户,2020-6,2020-6,已过期,1.8T 184马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/bj/4e1599d7fea2833fx.htm
雪铁龙C5 2013款 2.0L 自动尊享型,严选车,6.50,原价6.65万,2014-09,12.11万公里,国五,2.0,0次过户,2020-9,2019-8,已过期,2.0L 147马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/bj/0d84e9d371921020x.htm
奇瑞 艾瑞泽5 2016款 1.5L CVT领潮版,严选车,4.42,原价4.58万,2016-04,1.91万公里,国五,1.5,1次过户,2020-4,2020-4,已过期,1.5L 116马力 L4,7档无级变速箱(CVT),https://www.guazi.com/sjz/19553f5c57c3c31fx.htm
起亚K3 2013款 1.6L 自动Premium,严选车,¥4.90,新车指导价15.60万(含税),2013-05,11.03万公里,国四,1.6,0次过户,2020-5,2020-5,已过期,1.6L 128马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/bj/e131d8e06c309dd7x.htm
福特 蒙迪欧-致胜 2011款 2.0L GTDi200豪华型,严选车,6.19,原价6.24万,2012-10,9.87万公里,国四,2.0,0次过户,2019-10,2019-11,已过期,2.0T 203马力 L4,6档双离合变速箱(DCT),https://www.guazi.com/bj/7cd0ab4ccee14f04x.htm
福特 福克斯 2012款 三厢 1.6L 自动风尚型,严选车,5.53,原价5.81万,2014-11,6.89万公里,国四,1.6,1次过户,2020-11,2019-10,已过期,1.6L 125马力 L4,6档双离合变速箱(DCT),https://www.guazi.com/bj/3d16638b87ea5791x.htm
大众 迈腾 2013款 1.8TSI 领先型,严选车,¥11.52,新车指导价23.90万(含税),2014-08,5.84万公里,国四,1.8,0次过户,2020-8,2020-5,已过期,1.8T 160马力 L4,7档双离合变速箱(DCT),https://www.guazi.com/bj/0337db0d66e9d5c4x.htm
大众 途安 2013款 1.4T 自动舒适版5座,严选车,¥8.16,新车指导价19.70万(含税),2013-08,8.2万公里,国四,1.4,1次过户,2019-8,2019-8,2019-8,1.4T 131马力 L4,7档双离合变速箱(DCT),https://www.guazi.com/baoding/83fb944ed59ed68dx.htm
福特 福克斯 2012款 三厢 1.6L 自动舒适型,严选车,4.87,原价5.04万,2013-03,3.7万公里,国四,1.6,0次过户,2020-3,2020-3,已过期,1.6L 125马力 L4,6档双离合变速箱(DCT),https://www.guazi.com/bj/6cfe4a54e7d45f39x.htm
福特 福克斯 2012款 两厢 1.6L 自动舒适型,严选车,5.15,原价5.2万,2013-12,4.47万公里,国四,1.6,0次过户,2019-12,2019-12,2019-12,1.6L 125马力 L4,6档双离合变速箱(DCT),https://www.guazi.com/bj/a682c5de78a08b5cx.htm
大众 高尔夫 2012款 1.4TSI 手动舒适型,严选车,¥4.95,新车指导价14.80万(含税),2012-07,10.97万公里,国四,1.4,0次过户,2019-7,2019-7,已过期,1.4T 131马力 L4,5档手动变速箱(MT),https://www.guazi.com/bj/2f8c870d16223147x.htm
别克 凯越 2013款 1.5L 自动尊享型,严选车,4.16,原价4.21万,2014-11,6.45万公里,国四,1.5,0次过户,2020-11,2019-10,2019-11,1.5L 113马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/bj/00fab31f6ab7e634x.htm
福特 福克斯 2013款 三厢经典 1.8L 手动百万纪念版,严选车,4.05,原价4.2万,2014-12,5.59万公里,国四,1.8,1次过户,2020-12,2019-12,已过期,1.8L 124马力 L4,5档手动变速箱(MT),https://www.guazi.com/sjz/c1f65b6ba159c4cax.htm
大众 途观 2010款 1.8TSI 自动四驱菁英版,严选车,9.90,原价10.39万,2011-11,7.7万公里,国四,1.8,0次过户,2019-11,2019-11,已过期,1.8T 160马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/bj/be894807784f7af9x.htm
奇瑞 风云2 2015款 1.5L 手动新锐版,严选车,¥2.56,新车指导价4.70万(含税),2016-01,7.3万公里,国五,1.5,0次过户,2020-1,2020-1,已过期,1.5L 109马力 L4,5档手动变速箱(MT),https://www.guazi.com/handan/7a0b5b53d881d807x.htm
日产 阳光 2011款 1.5XE 手动舒适版,严选车,3.46,原价3.73万,2012-12,3.04万公里,国四,1.5,0次过户,2019-12,2019-12,已过期,1.5L 112马力 L4,5档手动变速箱(MT),https://www.guazi.com/bj/ddefbe9c0513b566x.htm
起亚K2 2011款 三厢 1.4L MT GLS,严选车,3.02,原价3.22万,2011-10,2.34万公里,国四,1.4,0次过户,2019-10,2019-10,已过期,1.4L 107马力 L4,5档手动变速箱(MT),https://www.guazi.com/tj/b985ff87128b7a10x.htm
标致408 2014款 1.8L 自动豪华版,严选车,¥6.47,新车指导价16.20万(含税),2015-01,11.57万公里,国五,1.8,0次过户,2021-1,2020-1,已过期,1.8L 139马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/baoding/04c9a411e37d9ca9x.htm
雪铁龙C5 2011款 东方之旅 2.3L 自动尊驭型,严选车,5.26,原价5.4万,2012-03,14.25万公里,国四,2.3,0次过户,2020-3,2020-3,已过期,2.3L 171马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/bj/fc16c56d1908e958x.htm
长安 逸动 2014款 1.6L 手动豪华型,严选车,¥3.04,新车指导价8.70万(含税),2014-04,5.74万公里,国四,1.6,0次过户,2020-4,2020-4,已过期,1.6L 125马力 L4,5档手动变速箱(MT),https://www.guazi.com/bj/33e9baa441185626x.htm
日产 奇骏 2010款 2.5L CVT豪华版 4WD,严选车,7.88,原价8.56万,2011-08,8.09万公里,国四,2.5,0次过户,2019-8,2020-4,已过期,2.5L 184马力 L4,6档无级变速箱(CVT),https://www.guazi.com/bj/fbc493d16a2013bcx.htm
现代 索纳塔八 2011款 2.0L 自动豪华版,严选车,¥5.43,新车指导价20.60万(含税),2012-03,15.36万公里,国四,2.0,0次过户,2020-3,2020-2,2001-1,2.0L 165马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/bj/def59ce11f3a7e7ax.htm
起亚K2 2015款 三厢 1.4L MT GLS,,¥4.50,新车指导价8.50万(含税),2015-08,4万公里,国四,1.4,1次过户,2019-8,2019-8,已过期,1.4L 107马力 L4,5档手动变速箱(MT),https://www.guazi.com/jn/979b49f26138fd18x.htm
雪佛兰 2015款 赛欧3 1.5L 手动理想天窗版,严选车,3.66,原价3.8万,2016-06,3.55万公里,国五,1.5,0次过户,2020-6,2019-6,2019-1,1.5L 113马力 L4,5档手动变速箱(MT),https://www.guazi.com/bj/6599ad6331448feax.htm
福特 福克斯 2012款 三厢 1.6L 手动风尚型,严选车,4.69,原价5.08万,2014-11,6.89万公里,国四,1.6,2次过户,2020-11,2019-12,已过期,1.6L 125马力 L4,5档手动变速箱(MT),https://www.guazi.com/tj/68191bf2f3782fd2x.htm
别克 昂科拉 2015款 1.4T 自动两驱都市精英型,严选车,¥7.14,新车指导价16.30万(含税),2015-04,2.38万公里,国五,1.4,0次过户,2021-4,2020-4,已过期,1.4T 140马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/bj/77b9593d7ed0c747x.htm
北汽绅宝 绅宝D50 2014款 1.5L 手动舒适版,严选车,¥3.21,新车指导价8.90万(含税),2014-12,7.72万公里,国四,1.5,0次过户,2019-12,2019-12,已过期,1.5L 113马力 L4,5档手动变速箱(MT),https://www.guazi.com/tangshan/c2da1530b98f89e7x.htm
福特 福克斯 2012款 三厢 1.6L 手动舒适型,严选车,4.51,原价4.64万,2014-07,7.83万公里,国五,1.6,0次过户,2020-7,2019-7,已过期,1.6L 125马力 L4,5档手动变速箱(MT),https://www.guazi.com/tj/5328810246e90adax.htm
现代ix35 2012款 2.0L 自动两驱精英版GLS,严选车,7.47,原价8.04万,2013-01,3.06万公里,国四,2.0,0次过户,2020-1,2020-1,已过期,2.0L 165马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/bj/ca0ac1ba59d2930cx.htm
现代 悦动 2011款 1.6L 手动舒适型,严选车,¥3.64,新车指导价10.80万(含税),2013-02,7.6万公里,国四,1.6,0次过户,2020-2,2020-2,已过期,1.6L 123马力 L4,5档手动变速箱(MT),https://www.guazi.com/baoding/75b1257349a571acx.htm
吉利 帝豪 2016款 三厢 1.5L 手动豪华型,0过户,¥4.00,新车指导价8.10万(含税),2016-09,4.35万公里,国五,1.5,0次过户,2020-9,2019-8,已过期,1.5L 109马力 L4,5档手动变速箱(MT),https://www.guazi.com/yantai/c63d050dea2d7f0cx.htm
别克 凯越 2011款 1.6LE-AT,严选车,3.09,原价3.19万,2012-11,12.23万公里,国四,1.6,0次过户,2019-11,2019-9,已过期,1.6L 110马力 L4,4档自动变速箱(AT),https://www.guazi.com/bj/1ec3f0e86c291d0dx.htm
大众 2016款 途安L 280TSI 自动舒适版,严选车,¥11.59,新车指导价20.30万(含税),2017-04,6.11万公里,国五,1.4,0次过户,2021-4,2020-4,已过期,1.4T 150马力 L4,7档双离合变速箱(DCT),https://www.guazi.com/bj/5f8b2579f68eb8c3x.htm
现代ix25 2015款 1.6L 自动两驱尊贵型DLX,严选车,¥7.83,新车指导价17.00万(含税),2015-06,4.02万公里,国四,1.6,0次过户,2021-6,2020-5,已过期,1.6L 125马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/bj/a70b162768c652c2x.htm
斯巴鲁 森林人 2012款 2.5XS 15周年豪华版,严选车,9.55,原价10.21万,2012-08,6.6万公里,国四,2.5,0次过户,2019-8,2019-8,已过期,2.5L 171马力 H4,4档手自一体变速箱(AT),https://www.guazi.com/bj/9179b2f5ab8c3017x.htm
别克 英朗 2010款 GT 1.6L 手动进取版,严选车,¥4.23,新车指导价14.90万(含税),2011-11,5.04万公里,国四,1.6,1次过户,2019-11,2019-11,已过期,1.6L 121马力 L4,5档手动变速箱(MT),https://www.guazi.com/sjz/b16bffb803409a8dx.htm
宝马X1 2012款 sDrive18i 时尚型,严选车,¥11.70,新车指导价30.60万(含税),2012-06,6.67万公里,国四,2.0,1次过户,2019-6,2019-6,已过期,2.0L 150马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/sjz/5776e53ed823842fx.htm
斯柯达 速派 2016款 TSI330 DSG创行版,严选车,¥11.15,新车指导价21.70万(含税),2016-01,5.53万公里,国五,1.8,0次过户,2020-1,2019-8,已过期,1.8T 180马力 L4,7档双离合变速箱(DCT),https://www.guazi.com/bj/471442d05ff52b7fx.htm
铃木 锋驭 2014款 1.6L CVT两驱精英型,严选车,¥5.93,新车指导价14.60万(含税),2014-05,7.47万公里,国四,1.6,1次过户,2020-5,2019-5,2019-5,1.6L 122马力 L4,7档无级变速箱(CVT),https://www.guazi.com/baoding/0b0051c25d0797d7x.htm
雪佛兰 科鲁兹 2013款 掀背 1.6L 手动豪华型,降价急售,¥4.00,新车指导价12.60万(含税),2015-03,9.37万公里,国四,1.6,0次过户,2021-3,2020-1,已过期,1.6L 121马力 L4,5档手动变速箱(MT),https://www.guazi.com/qd/22b33db6829d07bbx.htm
别克 昂科拉 2013款 1.4T 自动两驱精英型,严选车,6.23,原价6.42万,2013-09,5.37万公里,国四,1.4,0次过户,2019-9,2019-9,已过期,1.4T 140马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/sjz/36b3776b65de7c5ex.htm
哈弗H6 Coupe 2015款 蓝标 2.0T 自动两驱尊贵型,严选车,8.42,原价8.69万,2015-07,4.2万公里,国五,2.0,0次过户,2019-7,2019-7,已过期,2.0T 194马力 L4,6档双离合变速箱(DCT),https://www.guazi.com/bj/601c8e65880bfc5ax.htm
Jeep 指南者 2014款 2.0L 两驱运动版(进口),严选车,8.85,原价9.59万,2013-11,6.69万公里,国四,2.0,0次过户,2019-11,2019-11,已过期,2.0L 156马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/bj/673a8239cb3b05edx.htm
起亚 索兰托 2012款 2.4L 汽油至尊版(进口),严选车,¥9.40,新车指导价29.10万(含税),2012-07,6.8万公里,国四,2.4,0次过户,2019-7,2019-7,已过期,2.4L 174马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/bj/b4321126c518b0e6x.htm
大众 途观 2010款 2.0TSI 自动四驱旗舰版,严选车,9.76,原价10.2万,2011-12,10.36万公里,国四,2.0,0次过户,2019-12,2019-12,已过期,2.0T 200马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/bj/691ddb03804c067dx.htm
雪佛兰 创酷 2014款 1.4T 自动两驱豪华型,严选车,6.04,原价6.25万,2014-07,3.44万公里,国五,1.4,0次过户,2020-7,2019-7,已过期,1.4T 140马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/bj/25a6a663fbc1d6f7x.htm
奥迪A6L 2011款 2.4L 舒适型,严选车,13.49,原价13.64万,2011-12,9.93万公里,国四,2.4,0次过户,2019-12,2019-12,已过期,2.4L 177马力 V6,7档无级变速箱(CVT),https://www.guazi.com/tj/41a7fa4c8b03da94x.htm
大众 2016款 途安L 280TSI 自动豪华版,严选车,13.84,原价14.23万,2016-12,2.09万公里,国五,1.4,0次过户,2020-12,2019-11,已过期,1.4T 150马力 L4,7档双离合变速箱(DCT),https://www.guazi.com/bj/0b807c05a3244e47x.htm
现代ix35 2012款 2.0L 自动两驱精英版GLS,严选车,7.11,原价7.23万,2013-07,7.55万公里,国四,2.0,0次过户,2019-7,2019-7,已过期,2.0L 165马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/bj/c9f6db27a82efe5ex.htm
福特 翼搏 2013款 1.0L GTDi 手动尊贵型,严选车,¥5.00,新车指导价13.00万(含税),2014-05,2.36万公里,国四,1.0,2次过户,2020-5,2019-4,已过期,1.0T 125马力 L3,5档手动变速箱(MT),https://www.guazi.com/handan/1b38bd829aa79506x.htm
福特 翼虎 2013款 1.6L GTDi 两驱风尚型,严选车,¥9.02,新车指导价23.60万(含税),2014-10,6.5万公里,国四,1.6,0次过户,2020-10,2019-10,已过期,1.6T 177马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/bj/c5857f30cd7e2c61x.htm
金杯 阁瑞斯 2018款 2.0L快运豪华型7座V19,降价急售,¥5.36,新车指导价10.10万(含税),2018-05,4.53万公里,国五,2.0,0次过户,2020-5,2020-3,已过期,2.0L 106马力 L4,5档手动变速箱(MT),https://www.guazi.com/sy/96743a05846cbe70x.htm
福特 翼虎 2013款 1.6L GTDi 四驱精英型,严选车,8.80,原价8.97万,2013-05,7.38万公里,国四,1.6,0次过户,2020-5,2020-5,2020-5,1.6T 177马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/bj/4d83a2f3eaaa7765x.htm
别克 昂科拉 2014款 1.4T 自动两驱都市精英型,严选车,6.23,原价6.49万,2014-03,6.69万公里,国四,1.4,0次过户,2020-3,2020-3,已过期,1.4T 140马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/bj/372d7c54ad3d6b9cx.htm
现代 全新胜达 2013款 2.4L 自动两驱智能型,严选车,9.78,原价10.31万,2013-10,7.74万公里,国四,2.4,0次过户,2019-10,2019-10,已过期,2.4L 189马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/tj/38c325efd8becbbdx.htm
福特 翼搏 2013款 1.5L 自动尊贵型,严选车,¥5.22,新车指导价13.90万(含税),2013-12,7.55万公里,国四,1.5,0次过户,2019-12,2019-12,已过期,1.5L 110马力 L4,6档双离合变速箱(DCT),https://www.guazi.com/bj/a4e3f946f522c577x.htm
宝骏510 2017款 1.5L 自动豪华型,准新车,¥5.50,新车指导价8.20万(含税),2018-07,2.4万公里,国五,1.5,0次过户,2020-7,2019-7,2019-7,1.5L 112马力 L4,5档机械式自动变速箱(AMT),https://www.guazi.com/linyi/7e8808823d830f05x.htm
大众 途观 2010款 2.0TSI 自动四驱菁英版,严选车,¥10.62,新车指导价30.60万(含税),2011-08,14.16万公里,国四,2.0,1次过户,2019-8,2019-8,2019-8,2.0T 200马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/tangshan/9834b7c84d414255x.htm
北汽幻速S3 2014款 1.5L 豪华型 国IV,严选车,¥3.15,新车指导价7.50万(含税),2015-03,4.84万公里,国四,1.5,0次过户,2021-3,2020-3,已过期,1.5L 113马力 L4,5档手动变速箱(MT),https://www.guazi.com/tangshan/96947c904f6534a5x.htm
海马S7 2013款 2.0L 自动智尚型,严选车,3.51,原价3.63万,2013-12,8.03万公里,国四,2.0,0次过户,2019-12,2020-1,已过期,2.0L 150马力 L4,5档手自一体变速箱(AT),https://www.guazi.com/bj/f8214cbf70718518x.htm
起亚 索兰托 2013款 2.4L 7座汽油豪华版 国IV(进口),严选车,9.62,原价9.87万,2013-03,12.78万公里,国四,2.4,0次过户,2020-3,2020-3,已过期,2.4L 190马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/bj/94da25404111e9eex.htm
别克 昂科威 2016款 20T 两驱精英型,严选车,¥13.71,新车指导价25.60万(含税),2016-03,7.14万公里,国五,1.5,0次过户,2020-3,2020-3,已过期,1.5T 169马力 L4,7档双离合变速箱(DCT),https://www.guazi.com/bj/ac04da7cf0f92c60x.htm
哈弗H2 2014款 1.5T 手动两驱尊贵版,严选车,¥4.90,新车指导价12.20万(含税),2014-10,3.02万公里,国四,1.5,0次过户,2020-10,2019-10,已过期,1.5T 150马力 L4,6档手动变速箱(MT),https://www.guazi.com/bj/c8d1febd417ea5a3x.htm
